"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Omit,Sample Name,Target Name,Task,Reporter,Quencher,C_,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,NOAMP,Tm1,Tm2,Tm3,Tm4
F5,0,Sample 12,Acer,UNKNOWN,SYBR,None,22.604,22.665,0.086,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.247,,,
F6,0,Sample 12,A,UNKNOWN,SYBR,None,24.112,24.120,0.011,,,,,,,,0,0.200,1,3,18,Amp,,0.963,N,N,N,N,85.079,,,
F7,0,Sample 12,Acer,UNKNOWN,SYBR,None,22.726,22.665,0.086,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.247,,,
F8,0,Sample 12,A,UNKNOWN,SYBR,None,24.127,24.120,0.011,,,,,,,,0,0.200,1,3,19,Amp,,0.997,N,N,N,N,85.227,,,
F9,0,Sample 20,Acer,UNKNOWN,SYBR,None,22.932,22.974,0.060,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,74.247,,,
F10,0,Sample 20,A,UNKNOWN,SYBR,None,23.235,23.124,0.157,,,,,,,,0,0.200,1,3,17,Amp,,0.995,N,N,N,N,84.931,,,
F11,0,Sample 20,Acer,UNKNOWN,SYBR,None,23.016,22.974,0.060,,,,,,,,0,0.200,1,3,16,Amp,,0.996,N,N,N,N,74.247,,,
F12,0,Sample 20,A,UNKNOWN,SYBR,None,23.014,23.124,0.157,,,,,,,,0,0.200,1,3,17,Amp,,0.995,N,N,N,N,85.079,,,
G1,0,Sample 6,Acer,UNKNOWN,SYBR,None,24.161,24.427,0.376,,,,,,,,0,0.200,1,3,17,Amp,,0.996,N,N,N,N,73.950,,,
G2,0,Sample 6,A,UNKNOWN,SYBR,None,23.179,23.202,0.032,,,,,,,,0,0.200,1,3,17,Amp,,0.996,N,N,N,N,84.782,,,
G3,0,Sample 6,Acer,UNKNOWN,SYBR,None,24.692,24.427,0.376,,,,,,,,0,0.200,1,3,19,Amp,,0.998,N,N,N,N,74.099,,,
G4,0,Sample 6,A,UNKNOWN,SYBR,None,23.225,23.202,0.032,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,85.079,,,
G5,0,Sample 13,Acer,UNKNOWN,SYBR,None,23.452,23.326,0.178,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,74.099,,,
G6,0,Sample 13,A,UNKNOWN,SYBR,None,23.637,23.665,0.039,,,,,,,,0,0.200,1,3,18,Amp,,0.991,N,N,N,N,85.227,,,
G7,0,Sample 13,Acer,UNKNOWN,SYBR,None,23.200,23.326,0.178,,,,,,,,0,0.200,1,3,17,Amp,,0.996,N,N,N,N,74.247,,,
G8,0,Sample 13,A,UNKNOWN,SYBR,None,23.692,23.665,0.039,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,85.376,,,
G9,0,Sample 21,Acer,UNKNOWN,SYBR,None,22.472,22.674,0.285,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.247,,,
G10,0,Sample 21,A,UNKNOWN,SYBR,None,23.296,23.489,0.273,,,,,,,,0,0.200,1,3,18,Amp,,0.995,N,N,N,N,85.079,,,
G11,0,Sample 21,Acer,UNKNOWN,SYBR,None,22.875,22.674,0.285,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.247,,,
G12,0,Sample 21,A,UNKNOWN,SYBR,None,23.682,23.489,0.273,,,,,,,,0,0.200,1,3,18,Amp,,0.993,N,N,N,N,85.079,,,
H1,0,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,39,No Amp,,0.000,Y,N,Y,N,60.002,,,
H2,0,+,A,UNKNOWN,SYBR,None,22.389,22.398,0.013,,,,,,,,0,0.200,1,3,16,Amp,,0.997,N,N,N,N,84.634,,,
H3,0,Sample 14,Acer,UNKNOWN,SYBR,None,23.447,23.338,0.154,,,,,,,,0,0.200,1,3,18,Amp,,0.998,N,N,N,N,73.950,,,
H4,0,Sample 14,A,UNKNOWN,SYBR,None,22.921,22.876,0.063,,,,,,,,0,0.200,1,3,18,Amp,,0.998,N,N,N,N,85.079,,,
H5,0,Sample 14,Acer,UNKNOWN,SYBR,None,23.229,23.338,0.154,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,73.950,,,
H6,0,Sample 14,A,UNKNOWN,SYBR,None,22.831,22.876,0.063,,,,,,,,0,0.200,1,3,17,Amp,,0.994,N,N,N,N,85.079,,,
H7,0,Sample 22,Acer,UNKNOWN,SYBR,None,22.722,22.844,0.173,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.247,,,
H8,0,Sample 22,A,UNKNOWN,SYBR,None,23.229,23.450,0.312,,,,,,,,0,0.200,1,3,17,Amp,,0.980,N,N,N,N,84.931,,,
H9,0,Sample 22,Acer,UNKNOWN,SYBR,None,22.966,22.844,0.173,,,,,,,,0,0.200,1,3,18,Amp,,0.998,N,N,N,N,74.099,,,
H10,0,Sample 22,A,UNKNOWN,SYBR,None,23.670,23.450,0.312,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,84.931,,,
H11,0,+,Acer,UNKNOWN,SYBR,None,22.606,22.532,0.105,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.099,,,
H12,0,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,39,No Amp,,0.000,Y,Y,Y,N,87.601,82.408,75.434,
