,Sample.Name,File.Name,B.CT.mean,C.CT.mean,D.CT.mean,Ofav.CT.mean,B.CT.sd,C.CT.sd,D.CT.sd,Ofav.CT.sd,B.reps,C.reps,D.reps,Ofav.reps,B.Ofav,C.Ofav,D.Ofav,Sample.Plate,TotalSH,logB.SH,logC.SH,logD.SH,logSH,Treatment,Replicate,Colony,Core,Date,Sample,D.Prp,C.Prp,B.Prp,Community,RanA
265,Sample 9,Plate5.csv,38.4154949188,NA,34.0647926331,21.9455823899,0.807042691,NA,0.9844101165,0.1604048363,2,0,2,2,2.66141892448084E-05,0,0.0001810022,Sample 9_Plate5.csv,0.0002076164,-4.5748867593,NA,-3.7423161238,-3.6827383465,Control,R2,31,31-24,2017-12-15,31-24_2017-12-15,0.8718107557,0,0.1281892443,D,2
266,Sample 1,Plate6.csv,NA,NA,28.9672927857,19.3475551605,NA,NA,0.0088663482,0.6285747269,0,0,2,2,0,0,0.0010235289,Sample 1_Plate6.csv,0.0010235289,NA,NA,-2.9898998925,-2.9898998925,Control,R1,20,20-14,2018-01-26,20-14_2018-01-26,1,0,0,D,2
267,Sample 10,Plate6.csv,NA,NA,28.244805336,20.5247011185,NA,NA,0.6261646016,0.1190618124,0,0,2,2,0,0,0.0038189744,Sample 10_Plate6.csv,0.0038189744,NA,NA,-2.418053256,-2.418053256,N,R1,34,34-5,2018-01-26,34-5_2018-01-26,1,0,0,D,2
268,Sample 11,Plate6.csv,NA,NA,28.8734769821,19.3831329346,NA,NA,0.1991475682,0.0794869332,0,0,2,2,0,0,0.0011195705,Sample 11_Plate6.csv,0.0011195705,NA,NA,-2.9509485443,-2.9509485443,N,R1,34,34-38,2018-01-26,34-38_2018-01-26,1,0,0,D,2
269,Sample 12,Plate6.csv,NA,NA,27.5788917542,18.6410741806,NA,NA,0.2077967758,0.0608195883,0,0,2,2,0,0,0.0016420202,Sample 12_Plate6.csv,0.0016420202,NA,NA,-2.7846215023,-2.7846215023,N,R1,34,34-44,2018-01-26,34-44_2018-01-26,1,0,0,D,2
270,Sample 13,Plate6.csv,NA,30.5717338562,28.6970357895,19.3201217652,NA,0.4591349551,0.4149394325,0.4276104611,0,2,2,2,0,4.30774872792639E-05,0.0012111482,Sample 13_Plate6.csv,0.0012542257,NA,-4.3657496371,-2.916802705,-2.9016243021,NP,R1,20,20-17,2018-01-26,20-17_2018-01-26,0.9656541187,0.0343458813,0,D,2
271,Sample 14,Plate6.csv,NA,NA,27.4119348526,19.2796382904,NA,NA,0.147454627,0.0574168203,0,0,2,2,0,0,0.0028698849,Sample 14_Plate6.csv,0.0028698849,NA,NA,-2.5421355157,-2.5421355157,NP,R1,20,20-34,2018-01-26,20-34_2018-01-26,1,0,0,D,2
272,Sample 15,Plate6.csv,NA,NA,28.4779701233,18.6729488373,NA,NA,0.4339034913,0.3463729163,0,0,2,2,0,0,0.0009001692,Sample 15_Plate6.csv,0.0009001692,NA,NA,-3.0456758321,-3.0456758321,NP,R1,20,20-40,2018-01-26,20-40_2018-01-26,1,0,0,D,2
273,Sample 16,Plate6.csv,NA,31.9791625977,28.801276207,19.5416841507,NA,NA,0.2345886844,0.2977671476,0,1,2,2,0,0,0.001313756,Sample 16_Plate6.csv,0.001313756,NA,NA,-2.8814852734,-2.8814852734,NP,R1,34,34-4,2018-01-26,34-4_2018-01-26,1,0,0,D,2
274,Sample 17,Plate6.csv,NA,29.5647567749,27.0850086212,19.2145328522,NA,NA,0.5299416605,0.4699650092,0,1,2,2,0,0,0.0034409661,Sample 17_Plate6.csv,0.0034409661,NA,NA,-2.4633196035,-2.4633196035,NP,R1,34,34-9,2018-01-26,34-9_2018-01-26,1,0,0,D,2
275,Sample 18,Plate6.csv,NA,29.7912391663,27.5063219071,19.740530014,NA,0.400887336,0.3512592533,0.2215535071,0,2,2,2,0,0.000099028,0.0036999289,Sample 18_Plate6.csv,0.003798957,NA,-4.0042418307,-2.4318066168,-2.4203356247,NP,R1,34,34-22,2018-01-26,34-22_2018-01-26,0.9739328354,0.0260671646,0,D,2
276,Sample 2,Plate6.csv,NA,NA,29.0903282166,20.5671234131,NA,NA,0.3514925783,0.2507528438,0,0,2,2,0,0,0.0021887158,Sample 2_Plate6.csv,0.0021887158,NA,NA,-2.6598106219,-2.6598106219,Control,R1,20,20-19,2018-01-26,20-19_2018-01-26,1,0,0,D,2
278,Sample 4,Plate6.csv,NA,NA,28.9729347229,19.9459991455,NA,NA,0.219541248,0.2739342848,0,0,2,2,0,0,0.0015436588,Sample 4_Plate6.csv,0.0015436588,NA,NA,-2.8114486946,-2.8114486946,Control,R1,34,34-20,2018-01-26,34-20_2018-01-26,1,0,0,D,2
279,Sample 5,Plate6.csv,NA,NA,27.7944507599,19.2841243744,NA,NA,0.1148848912,0.5589980351,0,0,2,2,0,0,0.0022083412,Sample 5_Plate6.csv,0.0022083412,NA,NA,-2.6559338318,-2.6559338318,Control,R1,34,34-36,2018-01-26,34-36_2018-01-26,1,0,0,D,2
280,Sample 6,Plate6.csv,NA,30.2117256165,28.630227089,20.6050195694,NA,NA,0.39100272,0.1755642148,0,1,2,2,0,0,0.0030910177,Sample 6_Plate6.csv,0.0030910177,NA,NA,-2.5098985017,-2.5098985017,Control,R1,34,34-49,2018-01-26,34-49_2018-01-26,1,0,0,D,2
281,Sample 7,Plate6.csv,NA,NA,29.315533638,20.101723671,NA,NA,0.5673235549,0.1902191798,0,0,2,2,0,0,0.001356115,Sample 7_Plate6.csv,0.001356115,NA,NA,-2.8677034913,-2.8677034913,N,R1,20,20-2,2018-01-26,20-2_2018-01-26,1,0,0,D,2
282,Sample 8,Plate6.csv,NA,32.2261909485,28.3937530518,21.4337186814,NA,NA,0.183668548,0.2939665134,0,1,2,2,0,0,0.0064677104,Sample 8_Plate6.csv,0.0064677104,NA,NA,-2.1892494332,-2.1892494332,N,R1,20,20-28,2018-01-26,20-28_2018-01-26,1,0,0,D,2
283,Sample 9,Plate6.csv,NA,30.726839447,28.6858968735,20.5667734147,NA,NA,0.0852094638,0.0285425201,0,1,2,2,0,0,0.0028962096,Sample 9_Plate6.csv,0.0028962096,NA,NA,-2.5381700165,-2.5381700165,N,R1,20,20-46,2018-01-26,20-46_2018-01-26,1,0,0,D,2
284,Sample 1,Plate7.csv,NA,NA,30.397556305,20.6257209778,NA,NA,0.1357924254,0.1220464837,0,0,2,2,0,0,0.0009211156,Sample 1_Plate7.csv,0.0009211156,NA,NA,-3.035685863,-3.035685863,Control,R2,20,20-3,2018-01-26,20-3_2018-01-26,1,0,0,D,2
285,Sample 10,Plate7.csv,NA,NA,28.8519334793,20.7789211273,NA,NA,0.0162208047,0.0695146517,0,0,2,2,0,0,0.0029902728,Sample 10_Plate7.csv,0.0029902728,NA,NA,-2.5242891902,-2.5242891902,N,R2,34,34-10,2018-01-26,34-10_2018-01-26,1,0,0,D,2
286,Sample 11,Plate7.csv,NA,NA,28.7623376847,19.5266704559,NA,NA,0.0164231096,0.2134613122,0,0,2,2,0,0,0.0013357243,Sample 11_Plate7.csv,0.0013357243,NA,NA,-2.8742831827,-2.8742831827,N,R2,34,34-24,2018-01-26,34-24_2018-01-26,1,0,0,D,2
287,Sample 13,Plate7.csv,NA,30.4232887268,29.9127235413,19.123793602,NA,NA,1.3622589736,0.357886761,0,1,2,2,0,0,0.0004551328,Sample 13_Plate7.csv,0.0004551328,NA,NA,-3.3418618497,-3.3418618497,NP,R2,20,20-11,2018-01-26,20-11_2018-01-26,1,0,0,D,2
288,Sample 14,Plate7.csv,NA,NA,28.1387300491,19.5058116913,NA,NA,0.5534454406,0.1887585385,0,0,2,2,0,0,0.0020284407,Sample 14_Plate7.csv,0.0020284407,NA,NA,-2.6928376927,-2.6928376927,NP,R2,20,20-43,2018-01-26,20-43_2018-01-26,1,0,0,D,2
289,Sample 15,Plate7.csv,NA,33.0874771118,29.0150537491,21.3589830399,NA,NA,0.444672854,0.2139994432,0,1,2,2,0,0,0.0039922962,Sample 15_Plate7.csv,0.0039922962,NA,NA,-2.3987772493,-2.3987772493,NP,R2,20,20-50,2018-01-26,20-50_2018-01-26,1,0,0,D,2
290,Sample 16,Plate7.csv,NA,30.2092422485,27.7017364502,19.4738550186,NA,NA,0.3533268091,0.1027965007,0,1,2,2,0,0,0.0026859045,Sample 16_Plate7.csv,0.0026859045,NA,NA,-2.5709094285,-2.5709094285,NP,R2,34,34-7,2018-01-26,34-7_2018-01-26,1,0,0,D,2
291,Sample 17,Plate7.csv,NA,33.6117156982,30.8782253266,20.1448574067,NA,NA,0.1216472688,0.7288801803,0,1,2,2,0,0,0.0004730031,Sample 17_Plate7.csv,0.0004730031,NA,NA,-3.3251360153,-3.3251360153,NP,R2,34,34-21,2018-01-26,34-21_2018-01-26,1,0,0,D,2
292,Sample 18,Plate7.csv,NA,30.7641204834,28.4496803284,19.6833486557,NA,0.6804510911,0.5558987244,0.0008941876,0,2,2,2,0,4.84929278896742E-05,0.0018492724,Sample 18_Plate7.csv,0.0018977654,NA,-4.3143215934,-2.7329991023,-2.7217574827,NP,R2,34,34-32,2018-01-26,34-32_2018-01-26,0.9744473534,0.0255526466,0,D,2
293,Sample 2,Plate7.csv,NA,NA,29.622297287,20.2233905792,NA,NA,0.2897545258,0.2866633074,0,0,2,2,0,0,0.0011928253,Sample 2_Plate7.csv,0.0011928253,NA,NA,-2.9234231624,-2.9234231624,Control,R2,20,20-4,2018-01-26,20-4_2018-01-26,1,0,0,D,2
294,Sample 3,Plate7.csv,NA,NA,29.2274084092,18.6088590622,NA,NA,0.4032435135,0.7498241294,0,0,2,2,0,0,0.0005121861,Sample 3_Plate7.csv,0.0005121861,NA,NA,-3.2905721807,-3.2905721807,Control,R2,20,20-21,2018-01-26,20-21_2018-01-26,1,0,0,D,2
295,Sample 4,Plate7.csv,NA,32.8870452881,28.5670185089,19.8373746872,NA,NA,0.3212412563,0.0533990455,0,1,2,2,0,0,0.0018969026,Sample 4_Plate7.csv,0.0018969026,NA,NA,-2.7219549587,-2.7219549587,Control,R2,34,34-8,2018-01-26,34-8_2018-01-26,1,0,0,D,2
296,Sample 5,Plate7.csv,NA,NA,29.9395275116,20.6371822358,NA,NA,0.0216466214,0.1856754123,0,0,2,2,0,0,0.001275395,Sample 5_Plate7.csv,0.001275395,NA,NA,-2.8943552749,-2.8943552749,Control,R2,34,34-11,2018-01-26,34-11_2018-01-26,1,0,0,D,2
297,Sample 6,Plate7.csv,NA,31.7623771667,29.2932729722,19.5886068344,NA,NA,0.2002157379,0.2157338703,0,1,2,2,0,0,0.000965015,Sample 6_Plate7.csv,0.000965015,NA,NA,-3.0154659222,-3.0154659222,Control,R2,34,34-23,2018-01-26,34-23_2018-01-26,1,0,0,D,2
298,Sample 8,Plate7.csv,NA,NA,29.814409256,19.7179641724,NA,NA,0.171810785,0.1215016093,0,0,2,2,0,0,0.000735524,Sample 8_Plate7.csv,0.000735524,NA,NA,-3.1334031366,-3.1334031366,N,R2,20,20-41,2018-01-26,20-41_2018-01-26,1,0,0,D,2
299,Sample 9,Plate7.csv,NA,30.3149894714,27.5538520813,20.6141490937,NA,NA,0.0086208849,0.1379152779,0,1,2,2,0,0,0.0065595028,Sample 9_Plate7.csv,0.0065595028,NA,NA,-2.1831290771,-2.1831290771,N,R2,20,20-45,2018-01-26,20-45_2018-01-26,1,0,0,D,2
300,Sample 1,Plate8.csv,35.4797401428,NA,NA,22.6531591416,0.3354106896,NA,NA,0.0639566625,2,0,0,2,0.0003325564,0,0,Sample 1_Plate8.csv,0.0003325564,-3.4781346853,NA,NA,-3.4781346853,N,R2,31,31-8,2017-12-15,31-8_2017-12-15,0,0,1,B,2
301,Sample 10,Plate8.csv,NA,NA,31.3528957367,22.9482269287,NA,NA,0.1208164701,0.012359479,0,0,2,2,0,0,0.0023761413,Sample 10_Plate8.csv,0.0023761413,NA,NA,-2.6241277317,-2.6241277317,Control,R1,6,6-83,2018-01-26,6-83_2018-01-26,1,0,0,D,2
302,Sample 2,Plate8.csv,34.4150447846,NA,32.6880912781,23.1371469498,0.202976525,NA,0.0282633395,0.0181224705,2,0,2,2,0.0009728937,0,0.0010735171,Sample 2_Plate8.csv,0.0020464108,-3.0119345984,NA,-2.9691910466,-2.6890071829,N,R2,31,31-10,2017-12-15,31-10_2017-12-15,0.5245853238,0,0.4754146762,D,2
306,Sample 6,Plate8.csv,35.4625835419,NA,36.8241481781,22.0722637177,0.0961541573,NA,0.1698147103,0.173178366,2,0,2,2,0.0002249899,0,2.91856901837969E-05,Sample 6_Plate8.csv,0.0002541756,-3.6478369808,NA,-4.534830032,-3.5948661624,NP,R2,31,31-2,2017-12-15,31-2_2017-12-15,0.1148249144,0,0.8851750856,B,2
307,Sample 7,Plate8.csv,36.4047393799,NA,NA,22.0266571045,0.0944952574,NA,NA,0.066496263,2,0,0,2,0.0001134532,0,0,Sample 7_Plate8.csv,0.0001134532,-3.9451831072,NA,NA,-3.9451831072,NP,R2,31,31-11,2017-12-15,31-11_2017-12-15,0,0,1,B,2
308,Sample 8,Plate8.csv,35.6206817627,NA,NA,23.7004070282,0.3703419977,NA,NA,0.0187118521,2,0,0,2,0.0006232908,0,0,Sample 8_Plate8.csv,0.0006232908,-3.2053093138,NA,NA,-3.2053093138,NP,R2,31,31-49,2017-12-15,31-49_2017-12-15,0,0,1,B,2
309,Sample 9,Plate8.csv,NA,NA,31.0359725952,21.6873397827,NA,NA,0.0140993009,0.0905085027,0,0,2,2,0,0,0.0012351246,Sample 9_Plate8.csv,0.0012351246,NA,NA,-2.9082892119,-2.9082892119,Control,R1,6,6-6,2018-01-26,6-6_2018-01-26,1,0,0,D,2
279,Sample 1,Plate9.csv,NA,NA,30.907125473,NA,NA,NA,0.1886641296,NA,0,0,2,0,0,0,0,Sample 1_Plate9.csv,N,R1,6,6-9,2018-01-26,6-9_2018-01-26,2,2,,,,,,,,
310,Sample 10,Plate9.csv,NA,NA,36.5160045624,22.6579971314,NA,NA,0.5033318263,0.3066510288,0,0,2,2,0,0,5.42317684058664E-05,Sample 10_Plate9.csv,5.42317684058664E-05,NA,NA,-4.2657462337,-4.2657462337,NP,R1,31,31-17,2018-01-26,31-17_2018-01-26,1,0,0,D,2
311,Sample 12,Plate9.csv,NA,NA,38.1177616119,23.1671142579,NA,NA,0.8819979951,0.1304273002,0,0,2,2,0,0,2.54294153258315E-05,Sample 12_Plate9.csv,2.54294153258315E-05,NA,NA,-4.594663625,-4.594663625,NP,R1,31,31-40,2018-01-26,31-40_2018-01-26,1,0,0,D,2
312,Sample 13,Plate9.csv,NA,NA,29.3243722916,20.350183487,NA,NA,0.2924451807,0.0011167229,0,0,2,2,0,0,0.0016011413,Sample 13_Plate9.csv,0.0016011413,NA,NA,-2.7955703338,-2.7955703338,Control,R2,6,6-40,2018-01-26,6-40_2018-01-26,1,0,0,D,2
313,Sample 14,Plate9.csv,NA,NA,31.7098608017,20.8354377747,NA,NA,0.1834028542,0.1231497196,0,0,2,2,0,0,0.0004289455,Sample 14_Plate9.csv,0.0004289455,NA,NA,-3.3675978335,-3.3675978335,Control,R2,6,6-85,2018-01-26,6-85_2018-01-26,1,0,0,D,2
314,Sample 2,Plate9.csv,NA,NA,29.1575117111,22.0609312058,NA,NA,0.1708950183,0.5640785848,0,0,2,2,0,0,0.0058836399,Sample 2_Plate9.csv,0.0058836399,NA,NA,-2.2303539156,-2.2303539156,N,R1,6,6-81,2018-01-26,6-81_2018-01-26,1,0,0,D,2
209,Sample 3,Plate9.csv,NA,NA,29.9781026841,26.0065031052,NA,NA,0.0247257016,1.2210838898,0,0,2,2,0,0,0.0513285598,Sample 3_Plate9.csv,0.0513285598,NA,NA,-1.2896409209,-1.2896409209,N,R1,6,6-96,2018-01-26,6-96_2018-01-26,2,2,,,
210,Sample 4,Plate9.csv,NA,NA,31.2575035096,25.3710460663,NA,NA,0.3192910373,0.3031929642,0,0,2,2,0,0,0.0136122346,Sample 4_Plate9.csv,0.0136122346,NA,NA,-1.8660705755,-1.8660705755,N,R1,31,31-25,2018-01-26,31-25_2018-01-26,2,2,,,
315,Sample 5,Plate9.csv,NA,NA,35.2999668122,23.2069406509,NA,NA,0.4574814498,0.0231477236,0,0,2,2,0,0,0.0001843173,Sample 5_Plate9.csv,0.0001843173,NA,NA,-3.7344339297,-3.7344339297,N,R1,31,31-30,2018-01-26,31-30_2018-01-26,1,0,0,D,2
229,Sample 6,Plate9.csv,NA,NA,37.2282905579,24.0672893524,NA,NA,1.696971037,0.5058296171,0,0,2,2,0,0,8.79171391001791E-05,Sample 6_Plate9.csv,8.79171391001791E-05,NA,NA,-4.0559264527,-4.0559264527,N,R1,31,31-43,2018-01-26,31-43_2018-01-26,2,2,,,
317,Sample 7,Plate9.csv,NA,NA,29.6571521759,20.8071928024,NA,NA,0.2016682869,0.0321219677,0,0,2,2,0,0,0.0017451246,Sample 7_Plate9.csv,0.0017451246,NA,NA,-2.7581735487,-2.7581735487,NP,R1,6,6-61,2018-01-26,6-61_2018-01-26,1,0,0,D,2
318,Sample 8,Plate9.csv,NA,NA,29.6965265274,20.6476078034,NA,NA,0.1804114395,0.143347838,0,0,2,2,0,0,0.0015203155,Sample 8_Plate9.csv,0.0015203155,NA,NA,-2.8180662811,-2.8180662811,NP,R1,6,6-86,2018-01-26,6-86_2018-01-26,1,0,0,D,2
319,Sample 9,Plate9.csv,NA,NA,30.0265378953,20.7790136338,NA,NA,0.0109042326,0.0008645162,0,0,2,2,0,0,0.0013247914,Sample 9_Plate9.csv,0.0013247914,NA,NA,-2.8778525052,-2.8778525052,NP,R1,6,6-115,2018-01-26,6-115_2018-01-26,1,0,0,D,2
1,Sample 1,Plate10.csv,33.650138855,NA,26.2285175324,19.9891672135,0.1085864661,NA,0.0938640662,0.3062369782,2,0,2,2,0.0001865042,0,0.0106585489,Sample 1_Plate10.csv,0.0108450532,-3.7293112961,NA,-1.9723019163,-1.9647683141,Control,R2,6,6-116,2018-01-26,6-116_2018-01-26,0.9828028287,0,0.0171971713,D,2
2,Sample 10,Plate10.csv,27.6520709992,NA,29.6079444885,21.8948984146,0.2591849109,NA,0.214421586,0.0199297274,2,0,2,2,0.0446652017,0,0.0038377038,Sample 10_Plate10.csv,0.0485029056,-1.3500307003,NA,-2.415928543,-1.3142322443,N,R2,31,31-10,2018-01-26,31-10_2018-01-26,0.0791231741,0,0.9208768259,B,2
3,Sample 11,Plate10.csv,30.3028678894,NA,26.5964975358,21.6159887314,0.4988244737,NA,0.2904733825,0.2608046986,2,0,2,2,0.005861918,0,0.025506281,Sample 11_Plate10.csv,0.031368199,-2.2319602574,NA,-1.5933528607,-1.5035104154,NP,R2,6,6-49,2018-01-26,6-49_2018-01-26,0.8131254508,0,0.1868745492,D,2
4,Sample 12,Plate10.csv,31.9745922089,NA,24.9423151016,19.822971344,0.6190879771,NA,0.0365052399,0.0013972523,2,0,2,2,0.0005309438,0,0.0231661388,Sample 12_Plate10.csv,0.0236970826,-3.2749514384,NA,-1.635146346,-1.6253051176,NP,R2,6,6-72,2018-01-26,6-72_2018-01-26,0.9775945496,0,0.0224054504,D,2
5,Sample 13,Plate10.csv,34.6347579956,NA,25.7700681687,18.5743350983,0.2039287066,NA,0.0486759011,0.1825626147,2,0,2,2,3.53493882767157E-05,0,0.0054928557,Sample 13_Plate10.csv,0.0055282051,-4.4516180973,NA,-2.2602018118,-2.2574158555,NP,R2,6,6-82,2018-01-26,6-82_2018-01-26,0.9936056301,0,0.0063943699,D,2
6,Sample 14,Plate10.csv,28.7333803177,32.3868774414,31.8054399491,23.2321605683,0.0138929499,NA,1.558841316,0.3600244491,2,1,2,2,0.0533357959,0,0.0021140508,Sample 14_Plate10.csv,0.0554498468,-1.2729812195,NA,-2.6748845717,-1.2560996495,NP,R2,31,31-2,2018-01-26,31-2_2018-01-26,0.0381254587,0,0.9618745413,B,2
7,Sample 2,Plate10.csv,28.6425228119,32.8200019836,34.1072921753,22.7479448318,0.3419383935,NA,NA,0.2446958359,2,1,1,2,0.0406074908,0,0,Sample 2_Plate10.csv,0.0406074908,-1.3913938459,NA,NA,-1.3913938459,Control,R2,31,31-13,2018-01-26,31-13_2018-01-26,0,0,1,B,2
8,Sample 3,Plate10.csv,28.1614084244,NA,32.5719470978,24.4626321793,0.1203295897,NA,0.0622694399,0.7217334235,2,0,2,2,0.186040861,0,0.0029159673,Sample 3_Plate10.csv,0.1889568283,-0.7303916592,NA,-2.5352173516,-0.7236374094,Control,R2,31,31-24,2018-01-26,31-24_2018-01-26,0.0154319234,0,0.9845680766,B,2
9,Sample 4,Plate10.csv,27.8916711808,NA,33.2830486298,23.1641769409,0.1142415617,NA,0.5763989515,0.283863408,2,0,2,2,0.0911870923,0,0.0007241788,Sample 4_Plate10.csv,0.091911271,-1.0400666327,NA,-3.1401542175,-1.0366312281,Control,R2,31,31-46,2018-01-26,31-46_2018-01-26,0.0078791072,0,0.9921208928,B,2
10,Sample 5,Plate10.csv,28.5109128952,NA,24.7804164887,20.4250888825,0.1577883599,NA,0.0434308101,0.0444908876,2,0,2,2,0.0088915069,0,0.0393410034,Sample 5_Plate10.csv,0.0482325103,-2.0510246296,NA,-1.4051545673,-1.316660134,N,R2,6,6-12,2018-01-26,6-12_2018-01-26,0.815653242,0,0.184346758,D,2
11,Sample 6,Plate10.csv,33.2488822937,NA,25.5368289948,22.9274473191,0.9941423296,NA,0.0830043407,0.3966160058,2,0,2,2,0.0018879453,0,0.1319555097,Sample 6_Plate10.csv,0.133843455,-2.7240105878,NA,-0.8795724714,-0.873402861,N,R2,6,6-19,2018-01-26,6-19_2018-01-26,0.985894377,0,0.014105623,D,2
12,Sample 7,Plate10.csv,NA,NA,24.7741575241,20.3852729798,NA,NA,0.166193453,0.0778577047,0,0,2,2,0,0,0.0384364959,Sample 7_Plate10.csv,0.0384364959,NA,NA,-1.4152562122,-1.4152562122,N,R2,6,6-118,2018-01-26,6-118_2018-01-26,1,0,0,D,2
13,Sample 8,Plate10.csv,27.7996854782,NA,35.4080295563,23.3499317169,0.0418245094,NA,1.6992287595,0.4538939101,2,0,2,2,0.1105456308,0,0.0001888342,Sample 8_Plate10.csv,0.110734465,-0.9564584176,NA,-3.7239194572,-0.9557171883,N,R2,31,31-3,2018-01-26,31-3_2018-01-26,0.001705288,0,0.998294712,B,2
14,Sample 9,Plate10.csv,27.8241806031,NA,NA,23.6885099411,0.1001274251,NA,NA,0.0555299902,2,0,0,2,0.1374326803,0,0,Sample 9_Plate10.csv,0.1374326803,-0.8619099836,NA,NA,-0.8619099836,N,R2,31,31-8,2018-01-26,31-8_2018-01-26,0,0,1,B,2
15,Sample 1,Plate11.csv,NA,NA,28.9472608566,17.9938592911,NA,NA,0.5630077176,0.8408990858,0,0,2,2,0,0,0.0004060946,Sample 1_Plate11.csv,0.0004060946,NA,NA,-3.3913727426,-3.3913727426,Control,R1,20,20-19,2018-02-23,20-19_2018-02-23,1,0,0,D,2
1,Sample 11,Plate11.csv,NA,NA,28.4804944992,18.9533061982,NA,NA,0.2770700104,0.2875534489,0,0,2,2,0,0,0.0010913404,Sample 11_Plate11.csv,NP,R1,34,34-22,2018-02-23,34-22_2018-02-23,2,2,,,,,,,,
17,Sample 12,Plate11.csv,NA,NA,28.6427278519,19.5451345444,NA,NA,0.2750118955,0.1240088409,0,0,2,2,0,0,0.0014698777,Sample 12_Plate11.csv,0.0014698777,NA,NA,-2.8327187908,-2.8327187908,Control,R2,20,20-3,2018-02-23,20-3_2018-02-23,1,0,0,D,2
2,Sample 14,Plate11.csv,NA,NA,28.1412067413,NA,NA,NA,0.5929663719,NA,0,0,2,0,0,0,0,Sample 14_Plate11.csv,Control,R2,34,34-8,2018-02-23,34-8_2018-02-23,2,2,,,,,,,,
