Fra,Gen,Treatment,Replicate,Time,Period,Initial Date,Final Date,dBW/g,dAW/gd,
171,R-O,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.9631,3.9556,
263,R-O,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,5.925,5.9116,
269,R-O,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.3762,3.3641,
101,R-Y,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.5937,4.5864,
107,R-Y,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.8517,2.8449,
300,R-Y,NP,R1,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.2936,2.2968,
179,Green,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.8305,3.8296,
186,Green,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.3428,3.3419,
277,Green,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.1131,3.1206,
284,Green,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.4651,3.4727,
290,Green,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.3399,3.3475,
119,G-O,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.2142,3.215,
125,G-O,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.8537,2.8546,
217,G-O,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.9952,3.9831,
223,G-O,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.2529,4.2421,
152,Orange,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.3037,4.3001,
160,Orange,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.7624,4.7586,
166,R-O,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.1349,4.1249,
173,R-O,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.0576,4.0545,
264,R-O,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.6662,3.6583,
270,R-O,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.9301,3.9222,
102,R-Y,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.821,3.8183,
108,R-Y,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.7469,4.7441,
231,Yellow,Control,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.0166,3.0089,
180,Green,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.2324,4.2338,
187,Green,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.1181,4.1195,
278,Green,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.8428,2.8523,
285,Green,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.3324,2.3417,
120,G-O,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.0056,3.0086,
126,G-O,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,1.7228,1.7203,
218,G-O,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.7152,2.7058,
224,G-O,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.9015,3.893,
230,G-O,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.4003,2.3924,
154,Orange,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.8534,4.852,
246,Orange,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,5.255,5.2484,
299,Orange,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.1317,2.141,
167,R-O,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.5931,4.5853,
174,R-O,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.7852,4.7843,
265,R-O,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.259,2.2537,
271,R-O,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.4047,3.3991,
103,R-Y,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.7042,3.7037,
109,R-Y,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,5.1805,5.1799,
232,Yellow,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.3119,4.3061,
234,Yellow,N,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.9012,4.8953,
181,Green,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.9897,2.9965,
188,Green,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.1892,3.1961,
280,Green,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.0824,3.0976,
286,Green,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.0096,3.0248,
121,G-O,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.5645,3.5732,
128,G-O,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.3569,3.3598,
219,G-O,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.3673,3.3632,
225,G-O,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.9892,2.9866,
229,G-O,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.7979,3.7951,
155,Orange,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,5.2515,5.2561,
247,Orange,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,5.2033,5.2027,
168,R-O,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.9868,3.9916,
175,R-O,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,5.3393,5.3444,
266,R-O,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.4744,3.4744,
272,R-O,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,2.2892,2.2892,
104,R-Y,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.6086,4.6139,
110,R-Y,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,3.8519,3.8571,
233,Yellow,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.4329,4.4329,
235,Yellow,NP,R2,1.Sep-Oct,1.Sep-Oct,08/30/17,10/18/17,4.0082,4.0082,
176,Green,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,1.4076,1.4709,
182,Green,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.755,2.82,
189,Green,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.7163,2.7813,
281,Green,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,1.6843,1.748,
287,Green,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.1351,2.1994,
116,G-O,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.884,2.9492,
122,G-O,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.3508,2.4153,
129,G-O,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.1752,2.2349,
220,G-O,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.3512,3.4123,
226,G-O,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.7785,2.8389,
149,Orange,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,4.3386,4.4008,
157,Orange,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,4.3462,4.4085,
248,Orange,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.5113,3.5726,
162,R-O,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.6082,3.6696,
169,R-O,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.4601,2.5201,
261,R-O,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.8599,2.9204,
267,R-O,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,1.6839,1.743,
273,R-O,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,1.9851,2.0445,
105,R-Y,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.5833,2.6435,
204,R-Y,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.6061,2.6663,
143,Yellow,Control,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.095,2.1546,
177,Green,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.8599,2.9148,
183,Green,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.9719,3.0269,
190,Green,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.3604,2.4148,
282,Green,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.3316,3.387,
288,Green,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.3834,2.4378,
117,G-O,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.4753,2.5299,
123,G-O,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.5018,2.5619,
130,G-O,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.2087,2.2685,
221,G-O,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.8911,2.9516,
227,G-O,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.3318,2.3917,
150,Orange,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,4.2192,4.2814,
158,Orange,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.8771,3.9388,
249,Orange,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,4.462,4.5244,
164,R-O,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.6053,3.6667,
170,R-O,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.9795,3.0402,
262,R-O,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.4463,2.5063,
268,R-O,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.6577,2.718,
274,R-O,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.5998,3.6613,
106,R-Y,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.0578,3.1186,
206,R-Y,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.6156,3.677,
144,Yellow,N,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.3035,3.3646,
178,Green,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.912,2.9689,
184,Green,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,1.9423,1.9982,
276,Green,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,1.99,2.0459,
283,Green,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.7899,2.8467,
289,Green,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.5892,2.6457,
118,G-O,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.4695,2.5259,
124,G-O,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.8428,2.8997,
216,G-O,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.5865,2.6449,
222,G-O,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.1668,2.2247,
228,G-O,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.9965,3.0554,
151,Orange,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.3124,3.3716,
159,Orange,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,4.0874,4.1475,
250,Orange,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,4.6518,4.7126,
165,R-O,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.4479,3.5073,
171,R-O,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.4941,3.5536,
263,R-O,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,5.4062,5.4679,
269,R-O,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.7411,2.7996,
101,R-Y,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.9882,3.0471,
107,R-Y,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.1989,2.2569,
300,R-Y,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.9995,3.0584,
145,Yellow,NP,R1,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.9736,3.0324,
179,Green,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.2221,2.2737,
186,Green,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.1873,2.2389,
277,Green,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,1.7466,1.7978,
284,Green,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.0645,2.116,
290,Green,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,1.9413,1.9927,
119,G-O,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,1.0922,1.1427,
125,G-O,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,1.1885,1.2391,
217,G-O,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.0336,2.0979,
223,G-O,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.9764,3.0418,
152,Orange,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.195,3.2608,
160,Orange,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.0758,3.1413,
166,R-O,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.5143,2.5791,
173,R-O,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.6243,2.6893,
264,R-O,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.6659,2.7309,
270,R-O,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.801,2.8662,
102,R-Y,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.826,2.8913,
108,R-Y,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.2053,3.271,
231,Yellow,Control,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,1.7497,1.8136,
180,Green,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.237,3.2952,
187,Green,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,4.9954,5.0556,
278,Green,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.406,2.4632,
285,Green,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.0761,2.133,
120,G-O,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.4775,2.5349,
126,G-O,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,1.712,1.7685,
218,G-O,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.3133,2.3704,
224,G-O,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.5088,3.5692,
230,G-O,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.2726,2.3315,
154,Orange,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,4.9137,4.9758,
246,Orange,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,4.2254,4.2866,
299,Orange,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.1525,3.2124,
167,R-O,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.9757,4.0366,
174,R-O,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.9563,4.0172,
265,R-O,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.7422,2.8016,
271,R-O,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.1239,3.1838,
103,R-Y,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.5736,3.634,
109,R-Y,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.9874,3.0472,
232,Yellow,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.9855,3.0452,
234,Yellow,N,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.1405,3.2004,
181,Green,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.4759,2.5204,
188,Green,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.5276,2.5722,
280,Green,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.1219,2.1661,
286,Green,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.8515,2.8964,
121,G-O,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.7448,2.7896,
128,G-O,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.5596,3.6051,
219,G-O,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.8323,2.8772,
155,Orange,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,6.2669,6.3267,
247,Orange,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.1723,3.2287,
168,R-O,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.5047,2.5603,
175,R-O,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.2021,3.2585,
266,R-O,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.5709,2.6266,
272,R-O,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.77,2.8259,
104,R-Y,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3.2312,3.2876,
110,R-Y,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.6094,2.6652,
233,Yellow,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,2.547,2.6027,
235,Yellow,NP,R2,2.Oct-Nov,Oct-Nov,10/18/17,11/08/17,3,3.0562,
176,Green,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,2.0261,2.0888,
182,Green,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,4.0316,4.0975,
189,Green,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,3.571,3.6361,
281,Green,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,3.4594,3.5244,
287,Green,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,2.8162,2.8801,
116,G-O,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,4.0355,4.1014,
122,G-O,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,3.1655,3.2299,
129,G-O,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,3.0337,3.0979,
220,G-O,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,4.1577,4.2238,
226,G-O,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,3.2225,3.2871,
149,Orange,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,5.0585,5.126,
157,Orange,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,4.3435,4.4098,
248,Orange,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,4.2498,4.316,
162,R-O,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,3.4608,3.5258,
169,R-O,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,2.8689,2.9329,
261,R-O,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,2.9952,3.0594,
267,R-O,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,2.2392,2.3022,
273,R-O,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,2.8779,2.9419,
105,R-Y,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,3.5951,3.6447,
204,R-Y,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,3.9648,4.0149,
143,Yellow,Control,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,2.1374,2.1852,
177,Green,N,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,3.1804,3.2571,
183,Green,N,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,3.2092,3.2859,
190,Green,N,R1,3.Nov-Dec,Nov-Dec,11/16/17,12/13/17,2.6696,2.7453,
