Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate23_CD.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-10 14:59:56 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOAMP,NOSIGNAL,EXPFAIL,MTP
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,31.4450035095,31.0386352539,0.5746928453,,,,0,0.02,1,3,30,71.1117019653,,,,N,Y,N,N,Y,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.2607803345,,,,N,Y,N,N,Y,N
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,17.6625385284,17.6439094543,0.0263454895,,,,0,0.02,1,3,15,77.2267608643,,,,N,N,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,30.6322650909,31.0386352539,0.5746928453,,,,0,0.02,1,3,29,73.6494216919,,,,N,Y,N,N,Y,Y
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,79.0154266357,92.1323394775,84.0833282471,,N,Y,N,N,Y,Y
A11,+,Ssid,UNKNOWN,SYBR,None,18.2650794983,27.7160205841,13.3656492233,,,,0,0.02,1,3,16,77.2249145508,,,,N,Y,N,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.5763092041,,,,N,N,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.1577453613,,,,N,N,N,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,18.9084796906,18.4765834808,0.6107934713,,,,0,0.02,1,3,17,77.0775146484,,,,N,Y,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.5759811401,,,,N,N,N,N,Y,N
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,26.8422927856,27.0444602966,0.2859093845,,,,0,0.02,1,3,25,71.1153869629,,,,N,N,N,N,Y,N
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,18.0446872711,18.4765834808,0.6107934713,,,,0,0.02,1,3,16,77.2235183716,,,,N,Y,N,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.272808075,,,,N,N,N,N,Y,N
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,27.246629715,27.0444602966,0.2859093845,,,,0,0.02,1,3,25,71.7078552246,,,,N,N,N,N,Y,N
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,18.4805088043,18.5235366821,0.0608492605,,,,0,0.02,1,3,17,77.0709075928,,,,N,N,N,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,33.3052406311,32.8113327026,0.6984940171,,,,0,0.02,1,3,32,61.1204185486,,,,N,Y,N,N,N,N
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,27.871969223,27.8040084839,0.096109651,,,,0,0.02,1,3,26,72.3006668091,,,,N,Y,N,N,N,N
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,18.5665626526,18.5235366821,0.0608492605,,,,0,0.02,1,3,17,77.2239074707,,,,N,N,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,32.3174209595,32.8113327026,0.6984940171,,,,0,0.02,1,3,31,65.7448883057,,,,N,Y,N,N,N,N
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,27.7360496521,27.8040084839,0.096109651,,,,0,0.02,1,3,26,72.3043289185,,,,N,Y,N,N,N,N
B9,Sample 16,Ssid,UNKNOWN,SYBR,None,16.7206478119,16.6405200958,0.1133177057,,,,0,0.02,1,3,15,77.2267608643,,,,N,N,N,N,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,29.2034702301,29.7387924194,0.7570612431,,,,0,0.02,1,3,28,72.1588592529,,,,N,Y,Y,N,Y,N
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.4569702148,,,,N,Y,Y,N,Y,N
B11,Sample 16,Ssid,UNKNOWN,SYBR,None,16.5603923798,16.6405200958,0.1133177057,,,,0,0.02,1,3,15,77.075881958,,,,N,N,N,N,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,30.2741165161,29.7387924194,0.7570612431,,,,0,0.02,1,3,29,79.7584991455,,,,N,Y,N,N,Y,Y
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.0519485474,92.1283416748,,,N,Y,N,N,Y,Y
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,17.403181076,17.0415039063,0.5114874244,,,,0,0.02,1,3,15,77.0775146484,,,,N,Y,N,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,64.7061004639,,,,N,N,Y,N,Y,N
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,27.1672611237,27.3819007874,0.3035476804,,,,0,0.02,1,3,25,72.7549743652,,,,N,N,Y,N,Y,N
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,16.6798286438,17.0415039063,0.5114874244,,,,0,0.02,1,3,15,77.2235183716,,,,N,Y,N,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,66.6394042969,,,,N,N,Y,N,Y,N
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,27.5965423584,27.3819007874,0.3035476804,,,,0,0.02,1,3,26,70.9624938965,,,,N,N,Y,N,Y,N
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,17.9150066376,17.6887283325,0.320004493,,,,0,0.02,1,3,17,77.0709075928,,,,N,N,N,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.4269485474,,,,,0,0.02,1,3,39,63.9527511597,,,,N,N,N,N,Y,N
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,28.473865509,28.3891716003,0.1197739244,,,,0,0.02,1,3,27,71.1081085205,,,,N,N,N,N,Y,N
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,17.4624519348,17.6887283325,0.320004493,,,,0,0.02,1,3,16,77.2239074707,,,,N,N,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,35.4269485474,35.4269485474,,,,,0,0.02,1,3,31,65.4467315674,,,,N,N,N,N,N,N
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,28.304479599,28.3891716003,0.1197739244,,,,0,0.02,1,3,26,72.900642395,,,,N,N,N,N,N,N
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,16.9274597168,16.9205513,0.0097713256,,,,0,0.02,1,3,15,77.0777053833,,,,N,N,N,N,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,30.4916858673,30.5584831238,0.0944655836,,,,0,0.02,1,3,29,78.4192047119,,,,N,N,Y,N,Y,Y
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,75.5871429443,66.0475769043,,,N,N,Y,N,Y,Y
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,16.913640976,16.9205513,0.0097713256,,,,0,0.02,1,3,15,77.075881958,,,,N,N,N,N,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,30.6252803802,30.5584831238,0.0944655836,,,,0,0.02,1,3,29,74.9893951416,,,,N,N,N,N,Y,N
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.4558105469,,,,N,N,N,N,Y,N
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,17.8743839264,17.8430194855,0.0443560183,,,,0,0.02,1,3,16,77.0775146484,,,,N,N,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,60.8307151794,,,,N,N,N,N,Y,N
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,26.202047348,26.4547920227,0.3574335873,,,,0,0.02,1,3,24,72.6059188843,,,,N,N,N,N,Y,N
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,17.8116550446,17.8430194855,0.0443560183,,,,0,0.02,1,3,16,77.0744476318,,,,N,N,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,66.3412628174,,,,N,N,Y,N,Y,N
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,26.70753479,26.4547920227,0.3574335873,,,,0,0.02,1,3,25,70.5152740479,,,,N,N,Y,N,Y,N
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,18.2583122253,18.1126785278,0.2059558034,,,,0,0.02,1,3,17,77.0709075928,,,,N,N,N,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,30.9221687317,30.953956604,0.0449548401,,,,0,0.02,1,3,29,66.7850799561,,,,N,N,N,N,N,N
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,31.8029613495,31.9054069519,0.144878611,,,,0,0.02,1,3,30,73.1950836182,,,,N,N,N,N,N,N
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,17.9670467377,18.1126785278,0.2059558034,,,,0,0.02,1,3,17,77.0748291016,,,,N,N,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,30.9857444763,30.953956604,0.0449548401,,,,0,0.02,1,3,29,65.4467315674,,,,N,N,N,N,N,N
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,32.007850647,31.9054069519,0.144878611,,,,0,0.02,1,3,30,74.2423400879,,,,N,N,N,N,N,N
D9,Sample 18,Ssid,UNKNOWN,SYBR,None,17.4220790863,17.4166030884,0.0077455794,,,,0,0.02,1,3,16,77.0777053833,,,,N,N,N,N,N,N
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,35.3327941895,35.0455474854,0.4062281847,,,,0,0.02,1,3,31,64.8551330566,,,,N,N,N,N,N,N
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,28.4515628815,28.4003791809,0.0723833367,,,,0,0.02,1,3,27,71.7116928101,,,,N,N,N,N,N,N
D11,Sample 18,Ssid,UNKNOWN,SYBR,None,17.4111251831,17.4166030884,0.0077455794,,,,0,0.02,1,3,16,77.075881958,,,,N,N,N,N,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,34.7583007813,35.0455474854,0.4062281847,,,,0,0.02,1,3,30,67.6867141724,,,,N,N,N,N,N,N
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,28.3491973877,28.4003791809,0.0723833367,,,,0,0.02,1,3,27,70.3693313599,,,,N,N,N,N,N,N
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,18.255865097,18.1932907104,0.0884921998,,,,0,0.02,1,3,16,77.0775146484,,,,N,N,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,65.7494659424,,,,N,N,Y,N,Y,N
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,26.9164581299,27.0109558105,0.133641243,,,,0,0.02,1,3,25,69.922958374,,,,N,N,Y,N,Y,N
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,18.1307182312,18.1932907104,0.0884921998,,,,0,0.02,1,3,17,77.0744476318,,,,N,N,N,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,65.5959014893,,,,N,N,Y,N,Y,N
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,27.1054553986,27.0109558105,0.133641243,,,,0,0.02,1,3,25,68.8754882813,,,,N,N,Y,N,Y,N
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,17.7871742249,17.7373466492,0.0704654828,,,,0,0.02,1,3,16,77.0709075928,,,,N,N,N,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,29.5242919922,29.5117797852,0.0176962819,,,,0,0.02,1,3,28,68.1267089844,,,,N,N,N,N,N,N
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,31.5185165405,31.6265869141,0.1528359354,,,,0,0.02,1,3,30,73.9404373169,,,,N,N,N,N,N,N
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,17.6875209808,17.7373466492,0.0704654828,,,,0,0.02,1,3,16,77.0748291016,,,,N,N,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,29.4992656708,29.5117797852,0.0176962819,,,,0,0.02,1,3,28,66.3412017822,,,,N,N,N,N,N,N
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,31.7346591949,31.6265869141,0.1528359354,,,,0,0.02,1,3,30,73.944190979,,,,N,N,N,N,N,N
E9,Sample 19,Ssid,UNKNOWN,SYBR,None,16.9822921753,16.8497619629,0.1874273717,,,,0,0.02,1,3,15,77.0777053833,,,,N,N,N,N,N,N
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.2072906494,,,,,0,0.02,1,3,39,65.8985214233,,,,N,N,N,N,Y,N
E10,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,26.2691192627,26.458896637,0.2683870792,,,,0,0.02,1,3,24,73.35131073,,,,N,N,N,N,Y,N
E11,Sample 19,Ssid,UNKNOWN,SYBR,None,16.7172298431,16.8497619629,0.1874273717,,,,0,0.02,1,3,15,77.075881958,,,,N,N,N,N,N,N
E12,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,34.2072906494,34.2072906494,,,,,0,0.02,1,3,28,67.5376815796,,,,N,N,N,N,N,N
E12,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,26.6486759186,26.458896637,0.2683870792,,,,0,0.02,1,3,25,72.9029159546,,,,N,N,N,N,N,N
F1,Sample 5,Ssid,UNKNOWN,SYBR,None,18.3098697662,17.9240646362,0.545612216,,,,0,0.02,1,3,16,77.0775146484,,,,N,Y,N,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,28.5264911652,28.8655872345,0.4795542657,,,,0,0.02,1,3,27,93.0262069702,,,,N,Y,N,N,N,N
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,33.8778533936,34.3477554321,0.6645391583,,,,0,0.02,1,3,32,72.4568634033,,,,N,Y,N,N,N,N
F3,Sample 5,Ssid,UNKNOWN,SYBR,None,17.5382575989,17.9240646362,0.545612216,,,,0,0.02,1,3,16,77.0744476318,,,,N,Y,N,N,N,N
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,29.2046833038,28.8655872345,0.4795542657,,,,0,0.02,1,3,28,91.0872192383,,,,N,Y,N,N,N,N
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,34.817653656,34.3477554321,0.6645391583,,,,0,0.02,1,3,33,73.3476486206,,,,N,Y,N,N,N,N
F5,Sample 12,Ssid,UNKNOWN,SYBR,None,17.2272071838,17.0903396606,0.1935612559,,,,0,0.02,1,3,15,77.0709075928,,,,N,N,N,N,N,N
F6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,30.6928195953,30.6522483826,0.0573750101,,,,0,0.02,1,3,29,74.9839248657,,,,N,N,Y,N,Y,N
F6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.6422958374,,,,N,N,Y,N,Y,N
F7,Sample 12,Ssid,UNKNOWN,SYBR,None,16.9534702301,17.0903396606,0.1935612559,,,,0,0.02,1,3,14,77.2239074707,,,,N,N,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,30.6116790771,30.6522483826,0.0573750101,,,,0,0.02,1,3,29,75.8822021484,,,,N,N,Y,N,Y,N
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.7515640259,,,,N,N,Y,N,Y,N
F9,Sample 20,Ssid,UNKNOWN,SYBR,None,17.2351837158,16.9625854492,0.3855121732,,,,0,0.02,1,3,16,77.2267608643,,,,N,N,N,N,N,N
F10,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,36.4057579041,34.6796569824,2.4410779476,,,,0,0.02,1,3,35,67.8362426758,,,,N,Y,N,N,N,N
F10,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,26.953710556,26.9546127319,0.0012745206,,,,0,0.02,1,3,25,74.2456436157,,,,N,Y,N,N,N,N
F11,Sample 20,Ssid,UNKNOWN,SYBR,None,16.6899871826,16.9625854492,0.3855121732,,,,0,0.02,1,3,16,76.7778091431,,,,N,N,N,N,N,N
F12,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,32.9535522461,34.6796569824,2.4410779476,,,,0,0.02,1,3,29,61.7253417969,,,,N,Y,N,N,N,N
F12,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,26.9555130005,26.9546127319,0.0012745206,,,,0,0.02,1,3,25,69.9222259521,,,,N,Y,N,N,N,N
G1,Sample 6,Ssid,UNKNOWN,SYBR,None,18.8844432831,18.574426651,0.4384297132,,,,0,0.02,1,3,16,77.2265625,,,,N,N,N,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,27.8926963806,27.8318939209,0.0859876648,,,,0,0.02,1,3,26,74.8417129517,,,,N,N,N,N,Y,N
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.0530776978,,,,N,N,N,N,Y,N
G3,Sample 6,Ssid,UNKNOWN,SYBR,None,18.2644100189,18.574426651,0.4384297132,,,,0,0.02,1,3,16,77.0744476318,,,,N,N,N,N,N,N
G4,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,27.7710914612,27.8318939209,0.0859876648,,,,0,0.02,1,3,26,74.6892929077,,,,N,N,Y,N,Y,N
G4,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.3041381836,,,,N,N,Y,N,Y,N
G5,Sample 13,Ssid,UNKNOWN,SYBR,None,16.8263816833,16.6733016968,0.2164877951,,,,0,0.02,1,3,15,77.2199707031,,,,N,N,N,N,N,N
G6,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,30.4016208649,30.4534759521,0.0733341649,,,,0,0.02,1,3,29,93.4685974121,,,,N,N,Y,N,Y,N
G6,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.238571167,,,,N,N,Y,N,Y,N
G7,Sample 13,Ssid,UNKNOWN,SYBR,None,16.5202217102,16.6733016968,0.2164877951,,,,0,0.02,1,3,14,77.2239074707,,,,N,N,N,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,30.5053310394,30.4534759521,0.0733341649,,,,0,0.02,1,3,29,91.3863296509,,,,N,N,Y,N,Y,N
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.1987991333,,,,N,N,Y,N,Y,N
G9,Sample 21,Ssid,UNKNOWN,SYBR,None,17.4561061859,17.550579071,0.1336034834,,,,0,0.02,1,3,16,77.3758163452,,,,N,N,N,N,N,N
G10,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,35.4732933044,35.470199585,0.0043751802,,,,0,0.02,1,3,35,65.1532440186,,,,N,Y,N,N,N,N
G10,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,28.7076931,29.1769371033,0.6636126041,,,,0,0.02,1,3,27,77.0777053833,,,,N,Y,N,N,N,N
G11,Sample 21,Ssid,UNKNOWN,SYBR,None,17.6450500488,17.550579071,0.1336034834,,,,0,0.02,1,3,16,77.2249145508,,,,N,N,N,N,N,N
G12,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,35.4671058655,35.470199585,0.0043751802,,,,0,0.02,1,3,32,67.3886489868,,,,N,Y,N,N,N,N
G12,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,29.6461830139,29.1769371033,0.6636126041,,,,0,0.02,1,3,28,70.6674041748,,,,N,Y,N,N,N,N
H1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,61.4269256592,87.5112380981,93.1752624512,,N,N,N,N,N,Y
H2,+,C,UNKNOWN,VIC,NFQ-MGB,30.7809791565,30.6240730286,0.2219001204,,,,0,0.02,1,3,29,67.2400054932,,,,N,N,N,N,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,28.4540748596,28.3496227264,0.1477176249,,,,0,0.02,1,3,26,70.817276001,,,,N,N,N,N,N,N
H3,Sample 14,Ssid,UNKNOWN,SYBR,None,17.4854011536,17.4158973694,0.0982945412,,,,0,0.02,1,3,14,77.0744476318,,,,N,N,N,N,N,N
H4,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,29.1599445343,29.4429664612,0.400254786,,,,0,0.02,1,3,27,74.0930023193,,,,N,N,N,N,Y,N
H4,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.1985778809,,,,N,N,N,N,Y,N
H5,Sample 14,Ssid,UNKNOWN,SYBR,None,17.3463916779,17.4158973694,0.0982945412,,,,0,0.02,1,3,14,77.2199707031,,,,N,N,N,N,N,N
H6,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,29.7259902954,29.4429664612,0.400254786,,,,0,0.02,1,3,28,91.3816223145,,,,N,N,N,N,Y,N
H6,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.0460128784,,,,N,N,N,N,Y,N
H7,Sample 22,Ssid,UNKNOWN,SYBR,None,17.9189796448,18.1001663208,0.2562366426,,,,0,0.02,1,3,16,77.2239074707,,,,N,N,N,N,N,N
H8,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,34.4106941223,34.2535514832,0.2222332507,,,,0,0.02,1,3,31,70.6644668579,,,,N,N,N,N,N,N
H8,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,28.5021247864,28.5513267517,0.0695807412,,,,0,0.02,1,3,27,72.0061721802,,,,N,N,N,N,N,N
H9,Sample 22,Ssid,UNKNOWN,SYBR,None,18.2813529968,18.1001663208,0.2562366426,,,,0,0.02,1,3,16,77.3758163452,,,,N,N,N,N,N,N
H10,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,34.096408844,34.2535514832,0.2222332507,,,,0,0.02,1,3,30,65.4513549805,,,,N,N,N,N,N,N
H10,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,28.6005268097,28.5513267517,0.0695807412,,,,0,0.02,1,3,26,71.4135818481,,,,N,N,N,N,N,N
H11,+,Ssid,UNKNOWN,SYBR,None,37.1669616699,27.7160205841,13.3656492233,,,,0,0.02,1,3,31,84.0804901123,,,,Y,Y,N,Y,N,N
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.4272727966,,,,N,N,N,N,N,Y
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.9029159546,76.6287765503,,,N,N,N,N,N,Y
