Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate7.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-05 14:13:10 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,SPIKE,NOSIGNAL,EXPFAIL,CTFAIL
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,30.3015365601,30.3975563049,0.1357924193,,,,0,0.02,1,3,28,,N,N,Y,N,N,N,Y,N
B3,Sample 1,Ofav,UNKNOWN,SYBR,None,20.5394210815,20.6257209778,0.1220464855,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,30.4935760498,30.3975563049,0.1357924193,,,,0,0.02,1,3,29,,N,N,Y,N,N,N,Y,N
B5,Sample 7,Ofav,UNKNOWN,SYBR,None,20.4254589081,20.2842292786,0.1997288615,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
B6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,31,,Y,N,N,Y,Y,Y,N,Y
B6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,28.629699707,,,,,0,0.02,1,3,10,,Y,N,N,Y,Y,Y,N,Y
B7,Sample 7,Ofav,UNKNOWN,SYBR,None,20.142999649,20.2842292786,0.1997288615,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
B8,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
B8,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,28.629699707,28.629699707,,,,,0,0.02,1,3,27,,N,N,Y,N,N,N,Y,N
B9,Sample 13,Ofav,UNKNOWN,SYBR,None,18.8707294464,19.1237945557,0.3578867614,,,,0,0.02,1,3,17,,N,N,N,N,N,N,N,N
B10,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.5232887268,,,,,0,0.02,1,3,39,,N,Y,N,N,N,N,Y,N
B10,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,30.8759860992,29.9127235413,1.3622590303,,,,0,0.02,1,3,29,,N,Y,N,N,N,N,Y,N
B11,Sample 13,Ofav,UNKNOWN,SYBR,None,19.3768577576,19.1237945557,0.3578867614,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
B12,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,34.5232887268,34.5232887268,,,,,0,0.02,1,3,30,,N,Y,N,N,N,N,N,N
B12,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,28.9494609833,29.9127235413,1.3622590303,,,,0,0.02,1,3,27,,N,Y,N,N,N,N,N,N
C1,Sample 2,Ofav,UNKNOWN,SYBR,None,20.4260921478,20.2233905792,0.2866632938,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,29.4174098969,29.622297287,0.2897545397,,,,0,0.02,1,3,27,,N,N,Y,N,N,N,Y,N
C3,Sample 2,Ofav,UNKNOWN,SYBR,None,20.0206890106,20.2233905792,0.2866632938,,,,0,0.02,1,3,17,,N,N,N,N,N,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,29.8271846771,29.622297287,0.2897545397,,,,0,0.02,1,3,28,,N,N,Y,N,N,N,Y,N
C5,Sample 8,Ofav,UNKNOWN,SYBR,None,19.6320495605,19.7179641724,0.1215016097,,,,0,0.02,1,3,17,,N,N,N,N,N,N,N,N
C6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
C6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,29.9358978271,29.814409256,0.1718107909,,,,0,0.02,1,3,28,,N,N,Y,N,N,N,Y,N
C7,Sample 8,Ofav,UNKNOWN,SYBR,None,19.8038787842,19.7179641724,0.1215016097,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
C8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y,N
C8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,29.6929206848,29.814409256,0.1718107909,,,,0,0.02,1,3,28,,N,N,N,N,N,N,Y,N
C9,Sample 14,Ofav,UNKNOWN,SYBR,None,19.3723392487,19.5058116913,0.1887585372,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
C10,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,N,N,N,Y,N
C10,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,27.747385025,28.1387290955,0.5534454584,,,,0,0.02,1,3,26,,N,Y,N,N,N,N,Y,N
C11,Sample 14,Ofav,UNKNOWN,SYBR,None,19.6392841339,19.5058116913,0.1887585372,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
C12,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,N,N,N,Y,N
C12,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,28.5300750732,28.1387290955,0.5534454584,,,,0,0.02,1,3,26,,N,Y,N,N,N,N,Y,N
D1,Sample 3,Ofav,UNKNOWN,SYBR,None,18.0786533356,18.6088600159,0.7498241067,,,,0,0.02,1,3,16,,N,Y,N,N,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y,N
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,28.9422721863,29.2274093628,0.4032435119,,,,0,0.02,1,3,27,,N,N,N,N,N,N,Y,N
D3,Sample 3,Ofav,UNKNOWN,SYBR,None,19.1390647888,18.6088600159,0.7498241067,,,,0,0.02,1,3,18,,N,Y,N,N,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,29.512544632,29.2274093628,0.4032435119,,,,0,0.02,1,3,28,,N,N,Y,N,N,N,Y,N
D5,Sample 9,Ofav,UNKNOWN,SYBR,None,20.5166282654,20.6141490936,0.1379152834,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N,N
D6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.4149894714,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
D6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,27.5477561951,27.5538520813,0.0086208852,,,,0,0.02,1,3,25,,N,N,Y,N,N,N,Y,N
D7,Sample 9,Ofav,UNKNOWN,SYBR,None,20.7116699219,20.6141490936,0.1379152834,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
D8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,34.4149894714,34.4149894714,,,,,0,0.02,1,3,29,,N,N,N,N,N,N,N,N
D8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,27.5599479675,27.5538520813,0.0086208852,,,,0,0.02,1,3,25,,N,N,N,N,N,N,N,N
D9,Sample 15,Ofav,UNKNOWN,SYBR,None,21.5103034973,21.3589820862,0.2139994502,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
D10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.1874771118,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y,N
D10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,28.7006225586,29.0150527954,0.4446728528,,,,0,0.02,1,3,27,,N,N,N,N,N,N,Y,N
D11,Sample 15,Ofav,UNKNOWN,SYBR,None,21.2076625824,21.3589820862,0.2139994502,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N,N
D12,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,37.1874771118,37.1874771118,,,,,0,0.02,1,3,31,,N,N,N,N,N,N,N,N
D12,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,29.3294849396,29.0150527954,0.4446728528,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N,N
E1,Sample 4,Ofav,UNKNOWN,SYBR,None,19.8751335144,19.8373756409,0.053399045,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,36.9870452881,36.9870452881,,,,,0,0.02,1,3,35,,N,N,N,N,N,N,N,N
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,28.3398666382,28.5670185089,0.3212412596,,,,0,0.02,1,3,26,,N,N,N,N,N,N,N,N
E3,Sample 4,Ofav,UNKNOWN,SYBR,None,19.79961586,19.8373756409,0.053399045,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.9870452881,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,28.7941703796,28.5670185089,0.3212412596,,,,0,0.02,1,3,27,,N,N,Y,N,N,N,Y,N
E5,Sample 10,Ofav,UNKNOWN,SYBR,None,20.8280754089,20.7789211273,0.0695146546,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N,N
E6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
E6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,28.8404636383,28.8519325256,0.0162208043,,,,0,0.02,1,3,27,,N,N,Y,N,N,N,Y,N
E7,Sample 10,Ofav,UNKNOWN,SYBR,None,20.7297668457,20.7789211273,0.0695146546,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N,N
E8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y,N
E8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,28.8634033203,28.8519325256,0.0162208043,,,,0,0.02,1,3,27,,N,N,N,N,N,N,Y,N
E9,Sample 16,Ofav,UNKNOWN,SYBR,None,19.4011669159,19.4738540649,0.1027965024,,,,0,0.02,1,3,17,,N,N,N,N,N,N,N,N
E10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,34.3092422485,34.3092422485,,,,,0,0.02,1,3,30,,N,N,N,N,N,N,N,N
E10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,27.4518966675,27.7017364502,0.3533267975,,,,0,0.02,1,3,25,,N,N,N,N,N,N,N,N
E11,Sample 16,Ofav,UNKNOWN,SYBR,None,19.5465431213,19.4738540649,0.1027965024,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
E12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.3092422485,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y,N
E12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,27.9515762329,27.7017364502,0.3533267975,,,,0,0.02,1,3,26,,N,N,N,N,N,N,Y,N
F1,Sample 5,Ofav,UNKNOWN,SYBR,None,20.5058898926,20.6371822357,0.1856754124,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,29.9548339844,29.9395275116,0.0216466207,,,,0,0.02,1,3,28,,N,N,Y,N,N,N,Y,N
F3,Sample 5,Ofav,UNKNOWN,SYBR,None,20.7684745789,20.6371822357,0.1856754124,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N,N
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,29.9242210388,29.9395275116,0.0216466207,,,,0,0.02,1,3,28,,N,N,Y,N,N,N,Y,N
F5,Sample 11,Ofav,UNKNOWN,SYBR,None,19.6776103973,19.5266704559,0.2134613097,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
F6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y,N
F6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,28.7739505768,28.762336731,0.0164231099,,,,0,0.02,1,3,26,,N,N,N,N,N,N,Y,N
F7,Sample 11,Ofav,UNKNOWN,SYBR,None,19.3757305145,19.5266704559,0.2134613097,,,,0,0.02,1,3,17,,N,N,N,N,N,N,N,N
F8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y,N
F8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,28.7507247925,28.762336731,0.0164231099,,,,0,0.02,1,3,27,,N,N,N,N,N,N,Y,N
F9,Sample 17,Ofav,UNKNOWN,SYBR,None,20.6602535248,20.1448574066,0.728880167,,,,0,0.02,1,3,19,,N,Y,N,N,N,N,N,N
F10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.7117156982,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
F10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,30.7922077179,30.8782253265,0.1216472685,,,,0,0.02,1,3,29,,N,N,Y,N,N,N,Y,N
F11,Sample 17,Ofav,UNKNOWN,SYBR,None,19.6294612885,20.1448574066,0.728880167,,,,0,0.02,1,3,18,,N,Y,N,N,N,N,N,N
F12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,37.7117156982,37.7117156982,,,,,0,0.02,1,3,33,,N,N,N,N,N,N,N,N
F12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,30.9642429352,30.8782253265,0.1216472685,,,,0,0.02,1,3,29,,N,N,N,N,N,N,N,N
G1,Sample 6,Ofav,UNKNOWN,SYBR,None,19.741153717,19.5886077881,0.2157338709,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,35.8623771667,35.8623771667,,,,,0,0.02,1,3,31,,N,N,N,N,N,N,N,N
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,29.1516990662,29.2932739258,0.200215742,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N,N
G3,Sample 6,Ofav,UNKNOWN,SYBR,None,19.4360599518,19.5886077881,0.2157338709,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
G4,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.8623771667,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y,N
G4,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,29.4348468781,29.2932739258,0.200215742,,,,0,0.02,1,3,27,,N,N,Y,N,N,N,Y,N
G5,Sample 12,Ofav,UNKNOWN,SYBR,None,19.4832839966,19.5599555969,0.108428672,,,,0,0.02,1,3,17,,N,N,N,N,N,N,N,N
G6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,N,N,N,Y,N
G6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,29.2612056732,31.9635543823,3.8216996193,,,,0,0.02,1,3,27,,N,Y,N,N,N,N,Y,N
G7,Sample 12,Ofav,UNKNOWN,SYBR,None,19.6366252899,19.5599555969,0.108428672,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
G8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,N,N,N,Y,N
G8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,34.6659049988,31.9635543823,3.8216996193,,,,0,0.02,1,3,33,,N,Y,Y,N,N,N,Y,N
G9,Sample 18,Ofav,UNKNOWN,SYBR,None,19.6839809418,19.6833496094,0.0008941875,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
G10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,34.3829689026,34.8641204834,0.6804510951,,,,0,0.02,1,3,30,,N,Y,N,N,N,N,N,N
G10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,28.0566005707,28.4496803284,0.555898726,,,,0,0.02,1,3,26,,N,Y,N,N,N,N,N,N
G11,Sample 18,Ofav,UNKNOWN,SYBR,None,19.6827163696,19.6833496094,0.0008941875,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N,N
G12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,35.3452720642,34.8641204834,0.6804510951,,,,0,0.02,1,3,30,,N,Y,N,N,N,N,N,N
G12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,28.8427600861,28.4496803284,0.555898726,,,,0,0.02,1,3,27,,N,Y,N,N,N,N,N,N
H1,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
H2,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
H3,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
H4,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
H5,+,Ofav,UNKNOWN,SYBR,None,22.6932849884,22.8207588196,0.1802765727,,,,0,0.02,1,3,21,,N,N,N,N,N,N,N,N
H6,+,C,UNKNOWN,VIC,NFQ-MGB,30.2094154358,30.005033493,0.2890397012,,,,0,0.02,1,3,28,,N,N,N,N,N,N,N,N
H6,+,D,UNKNOWN,FAM,NFQ-MGB,29.5318279266,29.4083633423,0.1746066362,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N,N
H7,+,Ofav,UNKNOWN,SYBR,None,22.9482345581,22.8207588196,0.1802765727,,,,0,0.02,1,3,21,,N,N,N,N,N,N,N,N
H8,+,C,UNKNOWN,VIC,NFQ-MGB,29.8006515503,30.005033493,0.2890397012,,,,0,0.02,1,3,28,,N,N,N,N,N,N,N,N
H8,+,D,UNKNOWN,FAM,NFQ-MGB,29.2848968506,29.4083633423,0.1746066362,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N,N
H9,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
H10,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
H11,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
H12,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
