Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate10a.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-30 14:25:02 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,SPIKE,NOSIGNAL,EXPFAIL
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,27.1927776337,27.0198802948,0.244513765,,,,0,0.02,1,3,25,,N,N,Y,N,N,N,Y
E9,Sample 11,B,UNKNOWN,FAM,NFQ-MGB,35.65990448,36.9926872253,1.8848394156,,,,0,0.02,1,3,34,,N,Y,N,N,N,N,N
E10,Sample 11,Ofav,UNKNOWN,SYBR,None,21.2365055084,21.070728302,0.2344443798,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N
E11,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
E11,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,26.8469829559,27.0198802948,0.244513765,,,,0,0.02,1,3,25,,N,N,Y,N,N,N,Y
E12,Sample 11,B,UNKNOWN,FAM,NFQ-MGB,38.3254699707,36.9926872253,1.8848394156,,,,0,0.02,1,3,35,,N,Y,N,N,N,N,N
F1,Sample 5,Ofav,UNKNOWN,SYBR,None,20.1107635498,20.3859634399,0.3891914189,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,25.5331401825,25.601108551,0.0961231366,,,,0,0.02,1,3,23,,N,N,Y,N,N,N,Y
F3,Sample 5,B,UNKNOWN,FAM,NFQ-MGB,35.8944549561,36.0773048401,0.2585887909,,,,0,0.02,1,3,34,,N,N,N,N,N,N,N
F4,Sample 5,Ofav,UNKNOWN,SYBR,None,20.6611633301,20.3859634399,0.3891914189,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N
F5,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
F5,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,25.6690788269,25.601108551,0.0961231366,,,,0,0.02,1,3,23,,N,N,Y,N,N,N,Y
F6,Sample 5,B,UNKNOWN,FAM,NFQ-MGB,36.2601547241,36.0773048401,0.2585887909,,,,0,0.02,1,3,34,,N,N,N,N,N,N,N
F7,Sample 12,Ofav,UNKNOWN,SYBR,None,19.6362304688,19.7557907104,0.1690837145,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,25.2596225739,25.2674160004,0.0110215694,,,,0,0.02,1,3,23,,N,N,Y,N,N,N,Y
F9,Sample 12,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.5416069031,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
F10,Sample 12,Ofav,UNKNOWN,SYBR,None,19.8753509521,19.7557907104,0.1690837145,,,,0,0.02,1,3,17,,N,N,N,N,N,N,N
F11,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
F11,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,25.2752094269,25.2674160004,0.0110215694,,,,0,0.02,1,3,23,,N,N,Y,N,N,N,Y
F12,Sample 12,B,UNKNOWN,FAM,NFQ-MGB,39.5416069031,39.5416069031,,,,,0,0.02,1,3,35,,N,N,N,N,N,N,N
G1,Sample 6,Ofav,UNKNOWN,SYBR,None,22.9534511566,22.7505836487,0.2868993282,,,,0,0.02,1,3,21,,N,N,N,N,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,26.5479278564,26.64179039,0.1327416748,,,,0,0.02,1,3,24,,N,N,Y,N,N,N,Y
G3,Sample 6,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
G4,Sample 6,Ofav,UNKNOWN,SYBR,None,22.5477142334,22.7505836487,0.2868993282,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
G5,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
G5,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,26.7356529236,26.64179039,0.1327416748,,,,0,0.02,1,3,24,,N,N,Y,N,N,N,Y
G6,Sample 6,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
G7,Sample 13,Ofav,UNKNOWN,SYBR,None,23.1721420288,20.7589302063,3.4127981663,,,,0,0.02,1,3,16,,N,Y,N,Y,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,26.3285980225,26.3807239532,0.0737171993,,,,0,0.02,1,3,24,,N,N,Y,N,N,N,Y
G9,Sample 13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
G10,Sample 13,Ofav,UNKNOWN,SYBR,None,18.3457164764,20.7589302063,3.4127981663,,,,0,0.02,1,3,17,,N,Y,N,N,N,N,N
G11,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
G11,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,26.432849884,26.3807239532,0.0737171993,,,,0,0.02,1,3,24,,N,N,Y,N,N,N,Y
G12,Sample 13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
H1,+,Ofav,UNKNOWN,SYBR,None,5.7940936089,8.5222454071,3.8581888676,,,,0,0.02,1,3,5,,N,Y,N,N,Y,N,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,15.4924507141,15.4040088654,0.1250763386,,,,0,0.02,1,3,13,,N,Y,N,N,N,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,6.4660959244,8.1633491516,2.400277853,,,,0,0.02,1,3,5,,N,Y,N,N,N,N,N
H3,+,B,UNKNOWN,FAM,NFQ-MGB,15.1150140762,14.6549568176,0.6506198645,,,,0,0.02,1,3,13,,N,Y,N,N,N,N,N
H4,Sample 14,Ofav,UNKNOWN,SYBR,None,23.1439933777,23.0287227631,0.1630172729,,,,0,0.02,1,3,21,,N,N,N,N,N,N,N
H5,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,N,N,N,Y
H5,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,33.574382782,34.4134292603,1.18659091,,,,0,0.02,1,3,31,,N,Y,Y,N,N,N,Y
H6,Sample 14,B,UNKNOWN,FAM,NFQ-MGB,36.515411377,36.4182243347,0.1374432296,,,,0,0.02,1,3,34,,N,N,N,N,N,N,N
H7,Sample 14,Ofav,UNKNOWN,SYBR,None,22.9134521484,23.0287227631,0.1630172729,,,,0,0.02,1,3,21,,N,N,N,N,N,N,N
H8,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,N,N,N,Y
H8,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,35.2524757385,34.4134292603,1.18659091,,,,0,0.02,1,3,33,,N,Y,Y,N,N,N,Y
H9,Sample 14,B,UNKNOWN,FAM,NFQ-MGB,36.3210372925,36.4182243347,0.1374432296,,,,0,0.02,1,3,34,,N,N,N,N,N,N,N
H10,+,Ofav,UNKNOWN,SYBR,None,11.2503967285,8.5222454071,3.8581888676,,,,0,0.02,1,3,6,,N,Y,N,N,N,N,N
H11,+,C,UNKNOWN,VIC,NFQ-MGB,15.3155660629,15.4040088654,0.1250763386,,,,0,0.02,1,3,13,,N,Y,N,N,N,N,N
H11,+,D,UNKNOWN,FAM,NFQ-MGB,9.8606014252,8.1633491516,2.400277853,,,,0,0.02,1,3,7,,N,Y,N,N,N,N,N
H12,+,B,UNKNOWN,FAM,NFQ-MGB,14.1948986053,14.6549568176,0.6506198645,,,,0,0.02,1,3,39,,Y,Y,N,Y,N,Y,Y
