Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate22.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-10-24 13:58:24 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,SPIKE,NOSIGNAL,EXPFAIL
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
D3,Sample 3,B,UNKNOWN,FAM,NFQ-MGB,28.3654060364,28.3416671753,0.0335718207,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
D4,Sample 3,Ofav,UNKNOWN,SYBR,None,22.2371559143,22.3909759521,0.2175330371,,,,0,0.02,1,3,21,,N,N,N,N,N,N,N
D5,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
D5,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
D6,Sample 3,B,UNKNOWN,FAM,NFQ-MGB,28.3179283142,28.3416671753,0.0335718207,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
D7,Sample 10,Ofav,UNKNOWN,SYBR,None,22.3240814209,22.3274383545,0.004747421,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,34.0870170593,34.0870170593,,,,,0,0.02,1,3,32,,N,N,N,N,N,N,Y
D9,Sample 10,B,UNKNOWN,FAM,NFQ-MGB,28.9212474823,28.9347801208,0.0191380419,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
D10,Sample 10,Ofav,UNKNOWN,SYBR,None,22.3307952881,22.3274383545,0.004747421,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
D11,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
D11,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.0870170593,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
D12,Sample 10,B,UNKNOWN,FAM,NFQ-MGB,28.9483127594,28.9347801208,0.0191380419,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
E1,Sample 4,Ofav,UNKNOWN,SYBR,None,22.4397239685,22.3246116638,0.1627947241,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,26.6378631592,26.7110900879,0.1035571694,,,,0,0.02,1,3,25,,N,N,N,N,N,N,Y
E3,Sample 4,B,UNKNOWN,FAM,NFQ-MGB,28.9604434967,28.9423866272,0.0255376194,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
E4,Sample 4,Ofav,UNKNOWN,SYBR,None,22.2094974518,22.3246116638,0.1627947241,,,,0,0.02,1,3,21,,N,N,N,N,N,N,N
E5,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
E5,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,26.7843151093,26.7110900879,0.1035571694,,,,0,0.02,1,3,25,,N,N,N,N,N,N,Y
E6,Sample 4,B,UNKNOWN,FAM,NFQ-MGB,28.9243278503,28.9423866272,0.0255376194,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
E7,Sample 11,Ofav,UNKNOWN,SYBR,None,21.7756462097,21.6268196106,0.2104725987,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,N,N,N,Y
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,33.9965438843,33.3701019287,0.88592273,,,,0,0.02,1,3,32,,N,Y,N,N,N,N,Y
E9,Sample 11,B,UNKNOWN,FAM,NFQ-MGB,28.5559139252,28.6316432953,0.1070974991,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
E10,Sample 11,Ofav,UNKNOWN,SYBR,None,21.4779930115,21.6268196106,0.2104725987,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
E11,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,N,N,N,Y
E11,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,32.7436599731,33.3701019287,0.88592273,,,,0,0.02,1,3,31,,N,Y,N,N,N,N,Y
E12,Sample 11,B,UNKNOWN,FAM,NFQ-MGB,28.7073726654,28.6316432953,0.1070974991,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
F1,Sample 5,Ofav,UNKNOWN,SYBR,None,20.708650589,20.5901412964,0.1675961018,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,37.313079834,37.313079834,,,,,0,0.02,1,3,29,,N,N,N,N,N,N,N
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,27.4339141846,27.7224502563,0.4080529809,,,,0,0.02,1,3,25,,N,N,N,N,N,N,N
F3,Sample 5,B,UNKNOWN,FAM,NFQ-MGB,27.7464103699,27.9378089905,0.2706785202,,,,0,0.02,1,3,26,,N,N,N,N,N,N,N
F4,Sample 5,Ofav,UNKNOWN,SYBR,None,20.4716339111,20.5901412964,0.1675961018,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
F5,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.313079834,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
F5,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,28.0109882355,27.7224502563,0.4080529809,,,,0,0.02,1,3,26,,N,N,N,N,N,N,Y
F6,Sample 5,B,UNKNOWN,FAM,NFQ-MGB,28.1292076111,27.9378089905,0.2706785202,,,,0,0.02,1,3,26,,N,N,N,N,N,N,N
F7,Sample 12,Ofav,UNKNOWN,SYBR,None,22.0669670105,22.1306667328,0.0900850147,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,33.0049667358,32.7703323364,0.3318204582,,,,0,0.02,1,3,31,,N,N,N,N,N,N,Y
F9,Sample 12,B,UNKNOWN,FAM,NFQ-MGB,29.7763633728,29.766954422,0.0133062657,,,,0,0.02,1,3,28,,N,N,N,N,N,N,N
F10,Sample 12,Ofav,UNKNOWN,SYBR,None,22.1943664551,22.1306667328,0.0900850147,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
F11,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
F11,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,32.5357017517,32.7703323364,0.3318204582,,,,0,0.02,1,3,30,,N,N,N,N,N,N,Y
F12,Sample 12,B,UNKNOWN,FAM,NFQ-MGB,29.7575454712,29.766954422,0.0133062657,,,,0,0.02,1,3,28,,N,N,N,N,N,N,N
G1,Sample 6,Ofav,UNKNOWN,SYBR,None,21.2789058685,21.2976436615,0.0264992416,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,7.123878479,7.123878479,,,,,0,0.02,1,3,26,,Y,N,N,Y,Y,Y,N
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.9811992645,,,,,0,0.02,1,3,26,,Y,N,N,Y,Y,Y,N
G3,Sample 6,B,UNKNOWN,FAM,NFQ-MGB,27.4142837524,27.5931968689,0.2530213594,,,,0,0.02,1,3,25,,N,N,N,N,N,N,N
G4,Sample 6,Ofav,UNKNOWN,SYBR,None,21.3163814545,21.2976436615,0.0264992416,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N
G5,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,7.123878479,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
G5,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,29.9811992645,29.9811992645,,,,,0,0.02,1,3,28,,N,N,N,N,N,N,Y
G6,Sample 6,B,UNKNOWN,FAM,NFQ-MGB,27.7721099854,27.5931968689,0.2530213594,,,,0,0.02,1,3,26,,N,N,N,N,N,N,N
G7,Sample 13,Ofav,UNKNOWN,SYBR,None,23.3069324493,23.2218513489,0.1203241944,,,,0,0.02,1,3,21,,N,N,N,N,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,32.9646873474,33.2061080933,0.3414205015,,,,0,0.02,1,3,31,,N,N,N,N,N,N,Y
G9,Sample 13,B,UNKNOWN,FAM,NFQ-MGB,29.0861682892,28.7357711792,0.4955349863,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
G10,Sample 13,Ofav,UNKNOWN,SYBR,None,23.1367683411,23.2218513489,0.1203241944,,,,0,0.02,1,3,21,,N,N,N,N,N,N,N
G11,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
G11,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,33.4475288391,33.2061080933,0.3414205015,,,,0,0.02,1,3,31,,N,N,N,N,N,N,Y
G12,Sample 13,B,UNKNOWN,FAM,NFQ-MGB,28.3853759766,28.7357711792,0.4955349863,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
H1,+,Ofav,UNKNOWN,SYBR,None,Undetermined,5.9342393875,,,,,0,0.02,1,1,2,,N,N,N,N,N,N,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,14.5254068375,14.47859478,0.0662022457,,,,0,0.02,1,3,12,,N,N,N,N,N,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,9.6733465195,9.8778829575,0.2892582119,,,,0,0.02,1,3,7,,N,N,N,N,N,N,N
H3,+,B,UNKNOWN,FAM,NFQ-MGB,11.2854394913,11.7853679657,0.7070049644,,,,0,0.02,1,3,9,,N,Y,N,N,N,N,N
H4,Sample 14,Ofav,UNKNOWN,SYBR,None,21.4581127167,21.4347381592,0.0330552682,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
H5,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
H5,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
H6,Sample 14,B,UNKNOWN,FAM,NFQ-MGB,28.7712535858,28.8047523499,0.0473757535,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
H7,Sample 14,Ofav,UNKNOWN,SYBR,None,21.411365509,21.4347381592,0.0330552682,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N
H8,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
H8,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
H9,Sample 14,B,UNKNOWN,FAM,NFQ-MGB,28.8382530212,28.8047523499,0.0473757535,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
H10,+,Ofav,UNKNOWN,SYBR,None,5.9342393875,5.9342393875,,,,,0,0.02,1,3,5,,N,N,N,N,N,N,N
H11,+,C,UNKNOWN,VIC,NFQ-MGB,14.4317827225,14.47859478,0.0662022457,,,,0,0.02,1,3,12,,N,N,N,N,N,N,N
H11,+,D,UNKNOWN,FAM,NFQ-MGB,10.0824193954,9.8778829575,0.2892582119,,,,0,0.02,1,3,7,,N,N,N,N,N,N,N
H12,+,B,UNKNOWN,FAM,NFQ-MGB,12.2852954865,11.7853679657,0.7070049644,,,,0,0.02,1,3,10,,N,Y,N,N,N,N,N
