Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\home\mcano\Dropbox\RSMAS\Projects\2017-Nutrients\2. Ofav-Nutrients\qPCR\qPCR-Raw\Ofav_Nut_Plate4.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-07 13:42:00 PM EST,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
B7,Sample 8,Ofav,UNKNOWN,SYBR,None,19.5760593414,19.7173023224,0.1997477412,,,,0,0.02,1,3,18,74.871925354,,,,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,32.0502166748,,,,,0,0.02,1,3,39,61.6122627258,,,,N,N,Y,N
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,26.6890010834,26.5463600159,0.2017235905,,,,0,0.02,1,3,25,69.9554214478,,,,N,N,Y,N
B9,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.2807006836,,,,N,Y,Y,N
B10,Sample 8,Ofav,UNKNOWN,SYBR,None,19.8585453033,19.7173023224,0.1997477412,,,,0,0.02,1,3,19,74.7276153564,,,,N,N,N,N
B11,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,32.0502166748,32.0502166748,,,,,0,0.02,1,3,28,61.6161308289,,,,N,N,N,N
B11,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,26.4037208557,26.5463600159,0.2017235905,,,,0,0.02,1,3,24,69.5121307373,,,,N,N,N,N
B12,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,76.6632232666,,,,N,N,Y,N
C1,Sample 2,Ofav,UNKNOWN,SYBR,None,20.3663539886,20.6311225891,0.3744379878,,,,0,0.02,1,3,19,74.5776901245,,,,N,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.7676429749,,,,N,N,Y,N
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,26.469373703,26.7265853882,0.3637509048,,,,0,0.02,1,3,24,73.9818725586,,,,N,N,Y,N
C3,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.6372451782,,,,N,N,Y,N
C4,Sample 2,Ofav,UNKNOWN,SYBR,None,20.8958892822,20.6311225891,0.3744379878,,,,0,0.02,1,3,19,74.7231826782,,,,N,N,N,N
C5,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.7608795166,,,,N,Y,Y,N
C5,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,26.983795166,26.7265853882,0.3637509048,,,,0,0.02,1,3,25,72.3376235962,,,,N,Y,Y,N
C6,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.0824661255,,,,N,Y,Y,N
C7,Sample 9,Ofav,UNKNOWN,SYBR,None,21.7522201538,22.1721191406,0.5938255191,,,,0,0.02,1,3,20,74.871925354,,,,Y,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,38.6755371094,39.2648200989,0.8333719969,,,,0,0.02,1,3,39,61.7612495422,,,,Y,N,Y,N
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,29.6062488556,29.7507724762,0.2043872625,,,,0,0.02,1,3,27,75.0209121704,,,,Y,N,Y,N
C9,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.1950683594,,,,N,Y,Y,N
C10,Sample 9,Ofav,UNKNOWN,SYBR,None,22.5920162201,22.1721191406,0.5938255191,,,,0,0.02,1,3,20,74.7276153564,,,,Y,N,N,N
C11,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,39.8541030884,39.2648200989,0.8333719969,,,,0,0.02,1,3,39,61.7651100159,,,,Y,N,Y,N
C11,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,29.8952960968,29.7507724762,0.2043872625,,,,0,0.02,1,3,28,69.2141647339,,,,Y,N,Y,N
C12,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,76.8122024536,,,,N,N,Y,N
D1,Sample 3,Ofav,UNKNOWN,SYBR,None,20.7656211853,20.7805175781,0.0210680291,,,,0,0.02,1,3,19,74.7266464233,,,,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.916595459,,,,Y,N,Y,N
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,26.7541675568,27.3517150879,0.8450585008,,,,0,0.02,1,3,24,77.8546829224,,,,Y,N,Y,N
D3,Sample 3,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,77.1071166992,,,,N,N,Y,N
D4,Sample 3,Ofav,UNKNOWN,SYBR,None,20.7954158783,20.7805175781,0.0210680291,,,,0,0.02,1,3,19,74.7231826782,69.9553222656,,,N,N,N,Y
D5,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.9098472595,,,,Y,N,Y,N
D5,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,27.9492607117,27.3517150879,0.8450585008,,,,0,0.02,1,3,26,72.9335021973,,,,Y,N,Y,N
D6,Sample 3,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.7845306396,,,,N,N,Y,N
D7,Sample 10,Ofav,UNKNOWN,SYBR,None,21.8189697266,21.7714176178,0.0672488362,,,,0,0.02,1,3,21,74.722946167,,,,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,34.0787124634,35.0525817871,1.3772565126,,,,0,0.02,1,3,30,62.0592193604,,,,Y,N,N,N
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,27.7523822784,27.7347373962,0.0249522831,,,,0,0.02,1,3,26,72.6371536255,,,,Y,N,N,N
D9,Sample 10,B,UNKNOWN,FAM,NFQ-MGB,36.5828399658,36.6758956909,0.131597966,,,,0,0.02,1,3,35,72.7909698486,,,,N,N,N,N
D10,Sample 10,Ofav,UNKNOWN,SYBR,None,21.723865509,21.7714176178,0.0672488362,,,,0,0.02,1,3,20,74.5786437988,,,,N,N,N,N
D11,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,36.0264472961,35.0525817871,1.3772565126,,,,0,0.02,1,3,29,61.7651100159,,,,Y,N,N,N
D11,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,27.7170944214,27.7347373962,0.0249522831,,,,0,0.02,1,3,26,69.3631515503,,,,Y,N,N,N
D12,Sample 10,B,UNKNOWN,FAM,NFQ-MGB,36.7689476013,36.6758956909,0.131597966,,,,0,0.02,1,3,35,75.9183197021,,,,N,N,N,N
E1,Sample 4,Ofav,UNKNOWN,SYBR,None,21.421087265,21.3776836395,0.0613819957,,,,0,0.02,1,3,20,74.5776901245,,,,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.618686676,,,,Y,Y,Y,N
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,30.4756126404,30.9138183594,0.6197164655,,,,0,0.02,1,3,29,77.4078216553,,,,Y,Y,Y,N
E3,Sample 4,B,UNKNOWN,FAM,NFQ-MGB,37.7472190857,37.3940048218,0.4995203912,,,,0,0.02,1,3,35,77.4051055908,,,,N,N,N,N
E4,Sample 4,Ofav,UNKNOWN,SYBR,None,21.334280014,21.3776836395,0.0613819957,,,,0,0.02,1,3,19,74.5741882324,,,,N,N,N,N
E5,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,62.0588150024,,,,Y,Y,Y,N
E5,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,31.3520240784,30.9138183594,0.6197164655,,,,0,0.02,1,3,29,76.9556427002,,,,Y,Y,Y,N
E6,Sample 4,B,UNKNOWN,FAM,NFQ-MGB,37.0407905579,37.3940048218,0.4995203912,,,,0,0.02,1,3,35,72.635559082,,,,N,N,N,N
E7,Sample 11,Ofav,UNKNOWN,SYBR,None,20.0721740723,20.176612854,0.1476987451,,,,0,0.02,1,3,19,74.722946167,,,,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,35.8795928955,35.7083969116,0.2421076894,,,,0,0.02,1,3,31,61.4632797241,,,,N,N,N,N
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,29.0808448792,28.914264679,0.2355813235,,,,0,0.02,1,3,27,73.8290328979,,,,N,N,N,N
E9,Sample 11,B,UNKNOWN,FAM,NFQ-MGB,35.3971672058,35.7003326416,0.4287379682,,,,0,0.02,1,3,34,72.9399414063,,,,N,N,N,N
E10,Sample 11,Ofav,UNKNOWN,SYBR,None,20.2810516357,20.176612854,0.1476987451,,,,0,0.02,1,3,19,74.7276153564,,,,N,N,N,N
E11,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,35.5372009277,35.7083969116,0.2421076894,,,,0,0.02,1,3,31,61.3181686401,,,,N,N,N,N
E11,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,28.7476825714,28.914264679,0.2355813235,,,,0,0.02,1,3,27,69.5121307373,,,,N,N,N,N
E12,Sample 11,B,UNKNOWN,FAM,NFQ-MGB,36.0034942627,35.7003326416,0.4287379682,,,,0,0.02,1,3,34,75.7693328857,,,,N,N,N,N
F1,Sample 5,Ofav,UNKNOWN,SYBR,None,22.4767742157,22.2328968048,0.344894737,,,,0,0.02,1,3,21,74.7266464233,,,,N,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,77.8546829224,,,,N,Y,Y,N
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.5776901245,,,,N,Y,Y,N
F3,Sample 5,B,UNKNOWN,FAM,NFQ-MGB,37.6186714172,37.9575805664,0.4792899191,,,,0,0.02,1,3,35,78.299079895,,,,N,N,N,N
F4,Sample 5,Ofav,UNKNOWN,SYBR,None,21.9890193939,22.2328968048,0.344894737,,,,0,0.02,1,3,21,74.7231826782,,,,N,N,N,N
F5,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,80.9777832031,,,,N,Y,Y,N
F5,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.9335021973,,,,N,Y,Y,N
F6,Sample 5,B,UNKNOWN,FAM,NFQ-MGB,38.2964897156,37.9575805664,0.4792899191,,,,0,0.02,1,3,35,72.4865951538,,,,N,N,N,N
F7,Sample 12,Ofav,UNKNOWN,SYBR,None,20.6509132385,20.8022727966,0.2140560895,,,,0,0.02,1,3,19,74.722946167,,,,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,39.7964324951,39.7964324951,,,,,0,0.02,1,3,34,61.7612495422,,,,N,N,N,N
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,32.1522445679,32.0574111938,0.134115994,,,,0,0.02,1,3,30,73.8290328979,,,,N,N,N,N
F9,Sample 12,B,UNKNOWN,FAM,NFQ-MGB,36.2158203125,36.158241272,0.0814263597,,,,0,0.02,1,3,34,73.2378845215,,,,N,N,N,N
F10,Sample 12,Ofav,UNKNOWN,SYBR,None,20.9536342621,20.8022727966,0.2140560895,,,,0,0.02,1,3,19,74.7276153564,,,,N,N,N,N
F11,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.7964324951,,,,,0,0.02,1,3,39,61.7651100159,,,,N,Y,Y,N
F11,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,31.9625759125,32.0574111938,0.134115994,,,,0,0.02,1,3,30,80.5367355347,,,,N,Y,Y,N
F12,Sample 12,B,UNKNOWN,FAM,NFQ-MGB,36.1006660461,36.158241272,0.0814263597,,,,0,0.02,1,3,34,75.4713745117,,,,N,N,N,N
G1,Sample 6,Ofav,UNKNOWN,SYBR,None,22.1981563568,22.1258583069,0.1022435352,,,,0,0.02,1,3,20,74.7266464233,,,,N,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,76.5140991211,,,,N,Y,Y,N
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.4944419861,,,,,0,0.02,1,3,39,72.6412887573,,,,N,Y,Y,N
G3,Sample 6,B,UNKNOWN,FAM,NFQ-MGB,39.6318016052,39.2503128052,0.539503932,,,,0,0.02,1,3,35,74.127204895,,,,Y,N,N,N
G4,Sample 6,Ofav,UNKNOWN,SYBR,None,22.0535621643,22.1258583069,0.1022435352,,,,0,0.02,1,3,21,74.7231826782,,,,N,N,N,N
G5,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.9098472595,,,,N,Y,Y,N
G5,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,35.4944419861,35.4944419861,,,,,0,0.02,1,3,33,72.7845306396,,,,N,Y,Y,N
G6,Sample 6,B,UNKNOWN,FAM,NFQ-MGB,38.8688278198,39.2503128052,0.539503932,,,,0,0.02,1,3,35,74.4231796265,,,,Y,N,N,N
G7,Sample 13,Ofav,UNKNOWN,SYBR,None,19.7875766754,19.7868728638,0.0009966887,,,,0,0.02,1,3,18,74.871925354,,,,N,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.9258098602,,,,,0,0.02,1,3,39,62.2082023621,,,,N,Y,Y,N
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,25.2531108856,25.357011795,0.1469380707,,,,0,0.02,1,3,23,84.4069671631,,,,N,Y,Y,N
G9,Sample 13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.5786437988,,,,N,N,Y,N
G10,Sample 13,Ofav,UNKNOWN,SYBR,None,19.7861671448,19.7868728638,0.0009966887,,,,0,0.02,1,3,18,74.8765945435,,,,N,N,N,N
G11,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,30.9258098602,30.9258098602,,,,,0,0.02,1,3,27,61.9140930176,,,,N,N,N,N
G11,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,25.4609127045,25.357011795,0.1469380707,,,,0,0.02,1,3,23,82.473487854,,,,N,N,N,N
G12,Sample 13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.7897186279,,,,N,N,Y,N
H1,+,Ofav,UNKNOWN,SYBR,None,21.3675041199,21.5862369537,0.3093349338,,,,0,0.02,1,3,19,74.8756027222,,,,N,N,N,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,35.2923736572,34.0901184082,1.7002483606,,,,0,0.02,1,3,31,61.4697341919,,,,Y,N,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,28.8160190582,28.4087696075,0.5759376884,,,,0,0.02,1,3,27,73.0881500244,,,,Y,N,N,N
H3,+,B,UNKNOWN,FAM,NFQ-MGB,38.8285980225,39.3440551758,0.7289637923,,,,0,0.02,1,3,35,71.1472854614,,,,Y,N,N,N
H4,Sample 14,Ofav,UNKNOWN,SYBR,None,18.7737865448,19.0377464294,0.3732942939,,,,0,0.02,1,3,17,74.872177124,,,,N,N,N,N
H5,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,33.0847702026,32.6784362793,0.5746456385,,,,0,0.02,1,3,28,61.9098472595,,,,Y,N,N,N
H5,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,26.0880756378,26.1891899109,0.1429958344,,,,0,0.02,1,3,24,74.4231796265,,,,Y,N,N,N
H6,Sample 14,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.0396881104,,,,N,N,Y,N
H7,Sample 14,Ofav,UNKNOWN,SYBR,None,19.3017044067,19.0377464294,0.3732942939,,,,0,0.02,1,3,18,75.0209121704,,,,N,N,N,N
H8,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,32.2720985413,32.6784362793,0.5746456385,,,,0,0.02,1,3,28,61.6122627258,,,,Y,N,N,N
H8,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,26.2903022766,26.1891899109,0.1429958344,,,,0,0.02,1,3,24,79.4904632568,,,,Y,N,N,N
H9,Sample 14,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.3440475464,,,,N,N,Y,N
H10,+,Ofav,UNKNOWN,SYBR,None,21.8049697876,21.5862369537,0.3093349338,,,,0,0.02,1,3,20,74.8765945435,,,,N,N,N,N
H11,+,C,UNKNOWN,VIC,NFQ-MGB,32.8878593445,34.0901184082,1.7002483606,,,,0,0.02,1,3,31,61.6161308289,,,,Y,N,N,N
H11,+,D,UNKNOWN,FAM,NFQ-MGB,28.0015201569,28.4087696075,0.5759376884,,,,0,0.02,1,3,26,80.8346939087,,,,Y,N,N,N
H12,+,B,UNKNOWN,FAM,NFQ-MGB,39.8595085144,39.3440551758,0.7289637923,,,,0,0.02,1,3,35,75.9183197021,,,,Y,N,N,N
