,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\Users\INSTR-ADMIN\experiments\Ana\Nutrients\Acer_Nutrients_Plate16.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer_Nutrients_Plate16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-09 11:00:18 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Omit,Sample Name,Target Name,Task,Reporter,Quencher,C_,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,PRFLOW,NOISE,HIGHSD,SPIKE,DRNMIN,Tm1,NOAMP,Tm2,BADROX,Tm3,CTFAIL,Tm4
A11,0,+,Acer,UNKNOWN,SYBR,None,23.331,23.295,0.05,,,,,,,,0,0.2,1,3,17,Amp,,0.985,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
A12,0,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.2,1,3,39,No Amp,,0,Y,N,Y,Y,N,N,Y,N,75.313,N,,N,,N,
B1,0,Sample 1,Acer,UNKNOWN,SYBR,None,24.503,24.621,0.167,,,,,,,,0,0.2,1,3,20,Amp,,0.987,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
B2,0,Sample 1,A,UNKNOWN,SYBR,None,27.493,27.692,0.28,,,,,,,,0,0.2,1,3,22,Amp,,0.989,N,Y,N,N,N,N,N,N,84.735,N,73.693,N,,N,
B3,0,Sample 1,Acer,UNKNOWN,SYBR,None,24.739,24.621,0.167,,,,,,,,0,0.2,1,3,20,Amp,,0.993,N,N,N,N,N,N,N,N,73.399,N,,N,,N,
B4,0,Sample 1,A,UNKNOWN,SYBR,None,27.89,27.692,0.28,,,,,,,,0,0.2,1,3,21,Amp,,0.99,N,Y,N,N,N,N,N,N,85.029,N,77.963,N,,N,
B5,0,Sample 8,Acer,UNKNOWN,SYBR,None,23.782,23.719,0.088,,,,,,,,0,0.2,1,3,19,Amp,,0.979,N,N,N,N,N,N,N,N,73.399,N,,N,,N,
B6,0,Sample 8,A,UNKNOWN,SYBR,None,22.747,22.753,0.009,,,,,,,,0,0.2,1,3,18,Amp,,0.987,N,N,N,N,N,N,N,N,85.029,N,,N,,N,
B7,0,Sample 8,Acer,UNKNOWN,SYBR,None,23.657,23.719,0.088,,,,,,,,0,0.2,1,3,18,Amp,,0.986,N,N,N,N,N,N,N,N,73.399,N,,N,,N,
B8,0,Sample 8,A,UNKNOWN,SYBR,None,22.759,22.753,0.009,,,,,,,,0,0.2,1,3,17,Amp,,0.987,N,N,N,N,N,N,N,N,85.029,N,,N,,N,
B9,0,Sample 16,Acer,UNKNOWN,SYBR,None,24.554,24.529,0.035,,,,,,,,0,0.2,1,3,19,Amp,,0.991,N,N,N,N,N,N,N,N,73.399,N,,N,,N,
B10,0,Sample 16,A,UNKNOWN,SYBR,None,25.997,26.017,0.029,,,,,,,,0,0.2,1,3,21,Amp,,0.989,N,N,N,N,N,N,N,N,85.029,N,,N,,N,
B11,0,Sample 16,Acer,UNKNOWN,SYBR,None,24.504,24.529,0.035,,,,,,,,0,0.2,1,3,19,Amp,,0.991,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
B12,0,Sample 16,A,UNKNOWN,SYBR,None,26.038,26.017,0.029,,,,,,,,0,0.2,1,3,21,Amp,,0.985,N,Y,N,N,N,N,N,N,84.882,N,75.165,N,,N,
C1,0,Sample 2,Acer,UNKNOWN,SYBR,None,22.943,23.147,0.289,,,,,,,,0,0.2,1,3,17,Amp,,0.981,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
C2,0,Sample 2,A,UNKNOWN,SYBR,None,22.949,23,0.072,,,,,,,,0,0.2,1,3,18,Amp,,0.966,N,N,N,N,N,N,N,N,84.588,N,,N,,N,
C3,0,Sample 2,Acer,UNKNOWN,SYBR,None,23.352,23.147,0.289,,,,,,,,0,0.2,1,3,18,Amp,,0.93,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
C4,0,Sample 2,A,UNKNOWN,SYBR,None,23.05,23,0.072,,,,,,,,0,0.2,1,3,18,Amp,,0.979,N,N,N,N,N,N,N,N,84.882,N,,N,,N,
C5,0,Sample 9,Acer,UNKNOWN,SYBR,None,23.424,23.669,0.347,,,,,,,,0,0.2,1,3,18,Amp,,0.986,N,N,N,N,N,N,N,N,73.399,N,,N,,N,
C6,0,Sample 9,A,UNKNOWN,SYBR,None,22.671,22.69,0.026,,,,,,,,0,0.2,1,3,17,Amp,,0.947,N,N,N,N,N,N,N,N,84.882,N,,N,,N,
C7,0,Sample 9,Acer,UNKNOWN,SYBR,None,23.914,23.669,0.347,,,,,,,,0,0.2,1,3,18,Amp,,0.96,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
C8,0,Sample 9,A,UNKNOWN,SYBR,None,22.708,22.69,0.026,,,,,,,,0,0.2,1,3,17,Amp,,0.983,N,N,N,N,N,N,N,N,84.882,N,,N,,N,
C9,0,Sample 17,Acer,UNKNOWN,SYBR,None,22.761,22.849,0.125,,,,,,,,0,0.2,1,3,17,Amp,,0.986,N,N,N,N,N,N,N,N,73.399,N,,N,,N,
C10,0,Sample 17,A,UNKNOWN,SYBR,None,24.359,24.442,0.118,,,,,,,,0,0.2,1,3,18,Amp,,0.982,N,N,N,N,N,N,N,N,84.882,N,,N,,N,
C11,0,Sample 17,Acer,UNKNOWN,SYBR,None,22.938,22.849,0.125,,,,,,,,0,0.2,1,3,17,Amp,,0.983,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
C12,0,Sample 17,A,UNKNOWN,SYBR,None,24.526,24.442,0.118,,,,,,,,0,0.2,1,3,20,Amp,,0.976,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
D1,0,Sample 3,Acer,UNKNOWN,SYBR,None,24.72,24.94,0.31,,,,,,,,0,0.2,1,3,19,Amp,,0.988,N,N,N,N,N,N,N,N,73.104,N,,N,,N,
D2,0,Sample 3,A,UNKNOWN,SYBR,None,24.353,24.358,0.006,,,,,,,,0,0.2,1,3,19,Amp,,0.987,N,N,N,N,N,N,N,N,84.588,N,,N,,N,
D3,0,Sample 3,Acer,UNKNOWN,SYBR,None,25.159,24.94,0.31,,,,,,,,0,0.2,1,3,20,Amp,,0.991,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
D4,0,Sample 3,A,UNKNOWN,SYBR,None,24.362,24.358,0.006,,,,,,,,0,0.2,1,3,19,Amp,,0.983,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
D5,0,Sample 10,Acer,UNKNOWN,SYBR,None,24.035,24.146,0.158,,,,,,,,0,0.2,1,3,18,Amp,,0.99,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
D6,0,Sample 10,A,UNKNOWN,SYBR,None,23.409,23.401,0.012,,,,,,,,0,0.2,1,3,18,Amp,,0.979,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
D7,0,Sample 10,Acer,UNKNOWN,SYBR,None,24.258,24.146,0.158,,,,,,,,0,0.2,1,3,19,Amp,,0.99,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
D8,0,Sample 10,A,UNKNOWN,SYBR,None,23.392,23.401,0.012,,,,,,,,0,0.2,1,3,17,Amp,,0.984,N,N,N,N,N,N,N,N,84.882,N,,N,,N,
D9,0,Sample 18,Acer,UNKNOWN,SYBR,None,22.621,22.731,0.154,,,,,,,,0,0.2,1,3,17,Amp,,0.984,N,N,N,N,N,N,N,N,73.399,N,,N,,N,
D10,0,Sample 18,A,UNKNOWN,SYBR,None,25.395,25.457,0.087,,,,,,,,0,0.2,1,3,20,Amp,,0.985,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
D11,0,Sample 18,Acer,UNKNOWN,SYBR,None,22.84,22.731,0.154,,,,,,,,0,0.2,1,3,17,Amp,,0.986,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
D12,0,Sample 18,A,UNKNOWN,SYBR,None,25.519,25.457,0.087,,,,,,,,0,0.2,1,3,20,Amp,,0.973,N,Y,N,N,N,N,N,N,84.588,N,75.313,N,,N,
E1,0,Sample 4,Acer,UNKNOWN,SYBR,None,22.947,23.318,0.524,,,,,,,,0,0.2,1,3,18,Amp,,0.984,N,N,N,N,N,Y,N,N,73.104,N,,N,,N,
E2,0,Sample 4,A,UNKNOWN,SYBR,None,22.854,22.838,0.023,,,,,,,,0,0.2,1,3,18,Amp,,0.982,N,N,N,N,N,N,N,N,84.441,N,,N,,N,
E3,0,Sample 4,Acer,UNKNOWN,SYBR,None,23.688,23.318,0.524,,,,,,,,0,0.2,1,3,19,Amp,,0.963,N,N,N,N,N,Y,N,N,73.104,N,,N,,N,
E4,0,Sample 4,A,UNKNOWN,SYBR,None,22.822,22.838,0.023,,,,,,,,0,0.2,1,3,18,Amp,,0.976,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
E5,0,Sample 11,Acer,UNKNOWN,SYBR,None,24.636,24.272,0.514,,,,,,,,0,0.2,1,3,20,Amp,,0.986,N,N,N,N,N,Y,N,N,73.104,N,,N,,N,
E6,0,Sample 11,A,UNKNOWN,SYBR,None,24.862,24.899,0.053,,,,,,,,0,0.2,1,3,20,Amp,,0.983,N,N,N,N,N,N,N,N,84.882,N,,N,,N,
E7,0,Sample 11,Acer,UNKNOWN,SYBR,None,23.909,24.272,0.514,,,,,,,,0,0.2,1,3,18,Amp,,0.99,N,N,N,N,N,Y,N,N,73.252,N,,N,,N,
E8,0,Sample 11,A,UNKNOWN,SYBR,None,24.936,24.899,0.053,,,,,,,,0,0.2,1,3,20,Amp,,0.986,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
E9,0,Sample 19,Acer,UNKNOWN,SYBR,None,24.495,24.535,0.057,,,,,,,,0,0.2,1,3,19,Amp,,0.924,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
E10,0,Sample 19,A,UNKNOWN,SYBR,None,25.794,25.737,0.081,,,,,,,,0,0.2,1,3,21,Amp,,0.985,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
E11,0,Sample 19,Acer,UNKNOWN,SYBR,None,24.574,24.535,0.057,,,,,,,,0,0.2,1,3,19,Amp,,0.991,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
E12,0,Sample 19,A,UNKNOWN,SYBR,None,25.679,25.737,0.081,,,,,,,,0,0.2,1,3,21,Amp,,0.985,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
F1,0,Sample 5,Acer,UNKNOWN,SYBR,None,22.887,22.888,0.001,,,,,,,,0,0.2,1,3,18,Amp,,0.977,N,N,N,N,N,N,N,N,73.104,N,,N,,N,
F2,0,Sample 5,A,UNKNOWN,SYBR,None,23.301,23.363,0.088,,,,,,,,0,0.2,1,3,18,Amp,,0.941,N,N,N,N,N,N,N,N,84.588,N,,N,,N,
F3,0,Sample 5,Acer,UNKNOWN,SYBR,None,22.889,22.888,0.001,,,,,,,,0,0.2,1,3,16,Amp,,0.981,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
F4,0,Sample 5,A,UNKNOWN,SYBR,None,23.425,23.363,0.088,,,,,,,,0,0.2,1,3,18,Amp,,0.965,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
F5,0,Sample 12,Acer,UNKNOWN,SYBR,None,24.588,24.309,0.394,,,,,,,,0,0.2,1,3,19,Amp,,0.992,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
F6,0,Sample 12,A,UNKNOWN,SYBR,None,25.409,25.502,0.132,,,,,,,,0,0.2,1,3,20,Amp,,0.984,N,Y,N,N,N,N,N,N,84.588,N,75.46,N,,N,
F7,0,Sample 12,Acer,UNKNOWN,SYBR,None,24.031,24.309,0.394,,,,,,,,0,0.2,1,3,18,Amp,,0.99,N,N,N,N,N,N,N,N,73.399,N,,N,,N,
F8,0,Sample 12,A,UNKNOWN,SYBR,None,25.595,25.502,0.132,,,,,,,,0,0.2,1,3,20,Amp,,0.989,N,N,N,N,N,N,N,N,84.882,N,,N,,N,
F9,0,Sample 20,Acer,UNKNOWN,SYBR,None,23.802,23.878,0.107,,,,,,,,0,0.2,1,3,18,Amp,,0.983,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
F10,0,Sample 20,A,UNKNOWN,SYBR,None,23.315,23.388,0.104,,,,,,,,0,0.2,1,3,19,Amp,,0.969,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
F11,0,Sample 20,Acer,UNKNOWN,SYBR,None,23.953,23.878,0.107,,,,,,,,0,0.2,1,3,18,Amp,,0.988,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
F12,0,Sample 20,A,UNKNOWN,SYBR,None,23.462,23.388,0.104,,,,,,,,0,0.2,1,3,19,Amp,,0.98,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
G1,0,Sample 6,Acer,UNKNOWN,SYBR,None,23.089,23.143,0.076,,,,,,,,0,0.2,1,3,18,Amp,,0.988,N,N,N,N,N,N,N,N,72.957,N,,N,,N,
G2,0,Sample 6,A,UNKNOWN,SYBR,None,22.683,22.707,0.034,,,,,,,,0,0.2,1,3,18,Amp,,0.966,N,N,N,N,N,N,N,N,84.588,N,,N,,N,
G3,0,Sample 6,Acer,UNKNOWN,SYBR,None,23.197,23.143,0.076,,,,,,,,0,0.2,1,3,18,Amp,,0.984,N,N,N,N,N,N,N,N,73.104,N,,N,,N,
G4,0,Sample 6,A,UNKNOWN,SYBR,None,22.731,22.707,0.034,,,,,,,,0,0.2,1,3,17,Amp,,0.975,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
G5,0,Sample 13,Acer,UNKNOWN,SYBR,None,24.829,24.809,0.029,,,,,,,,0,0.2,1,3,20,Amp,,0.99,N,N,N,N,N,N,N,N,73.104,N,,N,,N,
G6,0,Sample 13,A,UNKNOWN,SYBR,None,25.086,25.098,0.016,,,,,,,,0,0.2,1,3,20,Amp,,0.987,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
G7,0,Sample 13,Acer,UNKNOWN,SYBR,None,24.788,24.809,0.029,,,,,,,,0,0.2,1,3,18,Amp,,0.991,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
G8,0,Sample 13,A,UNKNOWN,SYBR,None,25.109,25.098,0.016,,,,,,,,0,0.2,1,3,20,Amp,,0.981,N,N,N,N,N,N,N,N,84.882,N,,N,,N,
G9,0,Sample 21,Acer,UNKNOWN,SYBR,None,23.623,23.716,0.131,,,,,,,,0,0.2,1,3,18,Amp,,0.988,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
G10,0,Sample 21,A,UNKNOWN,SYBR,None,23.121,23.104,0.024,,,,,,,,0,0.2,1,3,17,Amp,,0.96,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
G11,0,Sample 21,Acer,UNKNOWN,SYBR,None,23.808,23.716,0.131,,,,,,,,0,0.2,1,3,18,Amp,,0.958,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
G12,0,Sample 21,A,UNKNOWN,SYBR,None,23.087,23.104,0.024,,,,,,,,0,0.2,1,3,18,Amp,,0.982,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
H1,0,NTC,Acer,UNKNOWN,SYBR,None,36.053,36.053,,,,,,,,,0,0.2,1,3,35,No Amp,,0,Y,N,N,Y,Y,N,Y,Y,67.804,N,,Y,,N,
H2,0,+,A,UNKNOWN,SYBR,None,24.872,24.882,0.014,,,,,,,,0,0.2,1,3,20,Amp,,0.983,N,Y,N,N,N,N,N,N,84.441,N,74.871,N,67.215,N,
H3,0,Sample 14,Acer,UNKNOWN,SYBR,None,22.513,22.705,0.272,,,,,,,,0,0.2,1,3,17,Amp,,0.966,N,N,N,N,N,N,N,N,73.104,N,,N,,N,
H4,0,Sample 14,A,UNKNOWN,SYBR,None,27.787,27.491,0.419,,,,,,,,0,0.2,1,3,22,Amp,,0.948,N,Y,N,N,N,N,N,N,84.735,N,73.252,N,,N,
H5,0,Sample 14,Acer,UNKNOWN,SYBR,None,22.897,22.705,0.272,,,,,,,,0,0.2,1,3,18,Amp,,0.989,N,N,N,N,N,N,N,N,73.104,N,,N,,N,
H6,0,Sample 14,A,UNKNOWN,SYBR,None,27.195,27.491,0.419,,,,,,,,0,0.2,1,3,21,Amp,,0.926,N,N,N,N,N,N,N,N,84.882,N,,N,,N,
H7,0,Sample 22,Acer,UNKNOWN,SYBR,None,24.282,24.57,0.407,,,,,,,,0,0.2,1,3,19,Amp,,0.987,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
H8,0,Sample 22,A,UNKNOWN,SYBR,None,23.444,23.634,0.269,,,,,,,,0,0.2,1,3,17,Amp,,0.985,N,N,N,N,N,N,N,N,84.882,N,,N,,N,
H9,0,Sample 22,Acer,UNKNOWN,SYBR,None,24.858,24.57,0.407,,,,,,,,0,0.2,1,3,19,Amp,,0.99,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
H10,0,Sample 22,A,UNKNOWN,SYBR,None,23.824,23.634,0.269,,,,,,,,0,0.2,1,3,19,Amp,,0.964,N,N,N,N,N,N,N,N,84.735,N,,N,,N,
H11,0,+,Acer,UNKNOWN,SYBR,None,23.26,23.295,0.05,,,,,,,,0,0.2,1,3,18,Amp,,0.984,N,N,N,N,N,N,N,N,73.252,N,,N,,N,
H12,0,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.2,1,3,39,No Amp,,0,Y,N,Y,Y,Y,N,Y,N,63.388,N,,N,,Y,
