"Treatment","DaysF","Community","emmean","SE","df","lower.CL","upper.CL",".group"
"N","103","B",0.38825353536165,0.0220042908639397,96.1808997030794,0.344576411600744,0.431930659122556," 1234567890ABCDEFGHIJKLMNOPQR                                                                           "
"N","103","D",0.391728240024298,0.00971720775974495,12.7796013536906,0.37069862665926,0.412757853389336,"   345 789   CD F H                                                                                     "
"N+P","103","B",0.412521579346473,0.0215821251846733,113.878202504787,0.369767065086451,0.455276093606495," 1234567890ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuv                                             "
"N+P","103","D",0.415996284009121,0.0106902920362798,16.6319368589084,0.393403657518081,0.438588910500161,"    456 890ABCDEFGHIJKL NO   ST  WX                                                                     "
"A","106","B",0.377889434275197,0.0213876857214007,110.660476081685,0.335506874320278,0.420271994230117," 1234567890ABCDEFGHIJ                                                                                   "
"A","106","D",0.372019191258645,0.0104336721310963,15.1126088176538,0.349794769572484,0.394243612944806," 1234  78                                                                                               "
"N","106","B",0.3471057489545,0.024378618337307,139.625535370327,0.298906783974074,0.395304713934926," 1234567890AB                                                                                           "
"N","106","D",0.341235505937948,0.00996193931527865,13.8103277669144,0.319841708268127,0.362629303607769," 12                                                                                                     "
"N+P","106","B",0.358139254298401,0.0241055895825942,154.871806086037,0.310521072735479,0.405757435861323," 1234567890ABCDEFGHIJ                                                                                   "
"N+P","106","D",0.352269011281848,0.0106902920362797,16.6319368589084,0.329676384790809,0.374861637772888," 123   7                                                                                                "
"A","110","B",NA,NA,NA,NA,NA,""
"A","110","D",0.404352524591978,0.0104336721310963,15.1126088176537,0.382128102905818,0.426576946278139,"    456 890  CDEFGH  K   O   S    X                                                                     "
"N","110","B",NA,NA,NA,NA,NA,""
"N","110","D",0.341375539020293,0.0102709609662027,15.0343136111214,0.319487854966574,0.363263223074012," 12                                                                                                     "
"N+P","110","B",NA,NA,NA,NA,NA,""
"N+P","110","D",0.379814465827303,0.0106902920362797,16.6319368589084,0.357221839336263,0.402407092318343," 1234  78     D   H                                                                                     "
